,State,County,Median AQI,FIPS
798,Tennessee,Roane,36,47145
799,Tennessee,Sevier,45,47155
800,Tennessee,Shelby,52,47157
801,Tennessee,Sullivan,42,47163
802,Tennessee,Sumner,45,47165
803,Tennessee,Williamson,43,47187
804,Tennessee,Wilson,42,47189
805,Texas,Atascosa,42,48013
806,Texas,Bell,44,48027
807,Texas,Bexar,52,48029
808,Texas,Bowie,53,48037
809,Texas,Brazoria,36,48039
810,Texas,Brazos,39,48041
811,Texas,Brewster,43,48043
812,Texas,Cameron,54,48061
813,Texas,Collin,41,48085
814,Texas,Culberson,20,48109
815,Texas,Dallas,55,48113
816,Texas,Denton,49,48121
817,Texas,Ector,33,48135
818,Texas,El Paso,64,48141
819,Texas,Ellis,36,48139
820,Texas,Galveston,51,48167
821,Texas,Gregg,35,48183
822,Texas,Harris,64,48201
823,Texas,Harrison,47,48203
824,Texas,Hidalgo,44,48215
825,Texas,Hood,39,48221
826,Texas,Hunt,37,48231
827,Texas,Jefferson,54,48245
828,Texas,Johnson,38,48251
829,Texas,Karnes,7,48255
830,Texas,Kaufman,46,48257
831,Texas,Kleberg,44,48273
832,Texas,Lubbock,25,48303
833,Texas,Maverick,34,48323
834,Texas,McLennan,52,48309
835,Texas,Montgomery,53,48339
836,Texas,Navarro,46,48349
837,Texas,Nueces,48,48355
838,Texas,Orange,46,48361
839,Texas,Parker,39,48367
840,Texas,Polk,37,48373
841,Texas,Potter,26,48375
842,Texas,Randall,44,48381
843,Texas,Rockwall,34,48397
844,Texas,Smith,38,48423
845,Texas,Tarrant,57,48439
846,Texas,Travis,54,48453
847,Texas,Victoria,31,48469
848,Texas,Webb,44,48479
849,Texas,Wilson,7,48493
850,Utah,Box Elder,38,49003
851,Utah,Cache,48,49005
852,Utah,Carbon,42,49007
853,Utah,Davis,47,49011
854,Utah,Duchesne,51,49013
855,Utah,Garfield,10,49017
856,Utah,Grand,49,49019
857,Utah,Iron,42,49021
858,Utah,Salt Lake,54,49035
859,Utah,San Juan,45,49037
860,Utah,Tooele,45,49045
861,Utah,Uintah,50,49047
862,Utah,Utah,48,49049
863,Utah,Washington,43,49053
864,Utah,Wayne,12,49055
865,Utah,Weber,47,49057
866,Vermont,Bennington,38,50003
867,Vermont,Chittenden,42,50007
868,Vermont,Rutland,38,50021
869,Vermont,Windham,14,50025
870,Virgin Islands,St John,22,
871,Virginia,Albemarle,44,51003
872,Virginia,Arlington,38,51013
873,Virginia,Bristol City,39,51520
874,Virginia,Caroline,40,51033
875,Virginia,Carroll,9,51035
876,Virginia,Charles,40,
877,Virginia,Chesterfield,41,51041
878,Virginia,Fairfax,46,51600
879,Virginia,Fauquier,39,51061
880,Virginia,Frederick,44,51069
881,Virginia,Giles,39,51071
882,Virginia,Hampton City,43,51650
883,Virginia,Hanover,40,51085
884,Virginia,Henrico,46,51087
885,Virginia,Hopewell City,7,51670
886,Virginia,Loudoun,39,51107
887,Virginia,Lynchburg City,34,51680
888,Virginia,Madison,42,51113
889,Virginia,Norfolk City,18,51710
890,Virginia,Prince Edward,34,51147
891,Virginia,Prince William,37,51153
892,Virginia,Richmond City,45,51760
893,Virginia,Roanoke,43,51770
894,Virginia,Rockbridge,37,51163
895,Virginia,Rockingham,37,51165
896,Virginia,Salem City,36,51775
897,Virginia,Stafford,37,51179
898,Virginia,Suffolk City,40,51800
899,Virginia,Virginia Beach City,41,51810
900,Virginia,Wythe,40,51197
901,Washington,Adams,21,53001
902,Washington,Asotin,49,53003
903,Washington,Benton,41,53005
904,Washington,Chelan,34,53007
905,Washington,Clallam,37,53009
906,Washington,Clark,35,53011
907,Washington,Columbia,39,53013
908,Washington,Cowlitz,22,53015
909,Washington,Franklin,26,53021
910,Washington,Garfield,17,53023
911,Washington,Grant,32,53025
912,Washington,Grays Harbor,23,53027
913,Washington,Jefferson,21,53031
914,Washington,King,46,53033
915,Washington,Kitsap,22,53035
916,Washington,Kittitas,29,53037
917,Washington,Klickitat,20,53039
918,Washington,Lewis,25,53041
919,Washington,Mason,24,53045
920,Washington,Okanogan,49,53047
921,Washington,Pacific,20,53049
922,Washington,Pierce,42,53053
923,Washington,Skagit,30,53057
924,Washington,Snohomish,38,53061
925,Washington,Spokane,42,53063
926,Washington,Stevens,46,53065
927,Washington,Thurston,28,53067
928,Washington,Walla Walla,28,53071
929,Washington,Whatcom,31,53073
930,Washington,Whitman,26,53075
931,Washington,Yakima,46,53077
932,West Virginia,Berkeley,44,54003
933,West Virginia,Brooke,19,54009
934,West Virginia,Cabell,44,54011
935,West Virginia,Greenbrier,38,54025
936,West Virginia,Hancock,36,54029
937,West Virginia,Harrison,39,54033
938,West Virginia,Kanawha,42,54039
939,West Virginia,Marion,39,54049
940,West Virginia,Marshall,52,54051
941,West Virginia,Monongalia,42,54061
942,West Virginia,Ohio,41,54069
943,West Virginia,Tucker,36,54093
944,West Virginia,Wood,41,54107
945,Wisconsin,Ashland,40,55003
946,Wisconsin,Brown,44,55009
947,Wisconsin,Columbia,44,55021
948,Wisconsin,Dane,50,55025
949,Wisconsin,Dodge,46,55027
950,Wisconsin,Door,41,55029
951,Wisconsin,Eau Claire,46,55035
952,Wisconsin,Fond du Lac,41,55039
953,Wisconsin,Forest,42,55041
954,Wisconsin,Grant,48,55043
955,Wisconsin,Jackson,33,55053
956,Wisconsin,Jefferson,44,55055
957,Wisconsin,Kenosha,48,55059
958,Wisconsin,Kewaunee,43,55061
959,Wisconsin,La Crosse,45,55063
960,Wisconsin,Manitowoc,40,55071
961,Wisconsin,Marathon,41,55073
962,Wisconsin,Milwaukee,52,55079
963,Wisconsin,Monroe,37,55081
964,Wisconsin,Outagamie,48,55087
965,Wisconsin,Ozaukee,45,55089
966,Wisconsin,Racine,44,55101
967,Wisconsin,Rock,46,55105
968,Wisconsin,Sauk,44,55111
969,Wisconsin,Sheboygan,45,55117
970,Wisconsin,Taylor,43,55119
971,Wisconsin,Vilas,39,55125
972,Wisconsin,Walworth,44,55127
973,Wisconsin,Waukesha,52,55133
974,Wyoming,Albany,48,56001
975,Wyoming,Big Horn,39,56003
976,Wyoming,Campbell,45,56005
977,Wyoming,Carbon,8,56007
978,Wyoming,Converse,42,56009
979,Wyoming,Fremont,49,56013
980,Wyoming,Johnson,40,56019
981,Wyoming,Laramie,45,56021
982,Wyoming,Lincoln,44,56023
983,Wyoming,Natrona,42,56025
984,Wyoming,Park,14,56029
985,Wyoming,Platte,14,56031
986,Wyoming,Sheridan,43,56033
987,Wyoming,Sublette,47,56035
988,Wyoming,Sweetwater,47,56037
989,Wyoming,Teton,43,56039
990,Wyoming,Uinta,6,56041
991,Wyoming,Weston,42,56045
