,State,County,Median AQI,FIPS
192,Georgia,Douglas,41,13097
193,Georgia,Floyd,46,13115
194,Georgia,Fulton,53,13121
195,Georgia,Glynn,43,13127
196,Georgia,Gwinnett,50,13135
197,Georgia,Hall,52,13139
198,Georgia,Henry,44,13151
199,Georgia,Houston,49,13153
200,Georgia,Lowndes,48,13185
201,Georgia,Murray,41,13213
202,Georgia,Muscogee,52,13215
203,Georgia,Pike,39,13231
204,Georgia,Richmond,51,13245
205,Georgia,Rockdale,40,13247
206,Georgia,Sumter,38,13261
207,Georgia,Walker,53,13295
208,Georgia,Washington,52,13303
209,Hawaii,Hawaii,23,15001
210,Hawaii,Honolulu,31,15003
211,Hawaii,Maui,20,15009
212,Idaho,Ada,44,16001
213,Idaho,Bannock,41,16005
214,Idaho,Benewah,48,16009
215,Idaho,Blaine,19,16013
216,Idaho,Boise,39,16015
217,Idaho,Bonner,34,16017
218,Idaho,Bonneville,25,16019
219,Idaho,Butte,44,16023
220,Idaho,Canyon,34,16027
221,Idaho,Custer,8,16037
222,Idaho,Franklin,24,16041
223,Idaho,Idaho,44,16049
224,Idaho,Kootenai,32,16055
225,Idaho,Latah,22,16057
226,Idaho,Lemhi,32,16059
227,Idaho,Nez Perce,36,16069
228,Idaho,Shoshone,47,16079
229,Idaho,Twin Falls,25,16083
230,Idaho,Valley,36,16085
231,Illinois,Adams,43,17001
232,Illinois,Champaign,48,17019
233,Illinois,Clark,36,17023
234,Illinois,Cook,57,17031
235,Illinois,DuPage,53,17043
236,Illinois,Effingham,44,17049
237,Illinois,Hamilton,46,17065
238,Illinois,Jersey,48,17083
239,Illinois,Jo Daviess,36,17085
240,Illinois,Kane,46,17089
241,Illinois,Lake,42,17097
242,Illinois,Macon,51,17115
243,Illinois,Macoupin,37,17117
244,Illinois,Madison,55,17119
245,Illinois,McHenry,49,17111
246,Illinois,McLean,50,17113
247,Illinois,Peoria,48,17143
248,Illinois,Randolph,46,17157
249,Illinois,Rock Island,51,17161
250,Illinois,Saint Clair,54,17163
251,Illinois,Sangamon,51,17167
252,Illinois,Will,53,17197
253,Illinois,Winnebago,52,17201
254,Indiana,Allen,42,18003
255,Indiana,Bartholomew,46,18005
256,Indiana,Boone,37,18011
257,Indiana,Brown,37,18013
258,Indiana,Carroll,36,18015
259,Indiana,Clark,52,18019
260,Indiana,Delaware,40,18035
261,Indiana,Dubois,44,18037
262,Indiana,Elkhart,44,18039
263,Indiana,Floyd,46,18043
264,Indiana,Greene,44,18055
265,Indiana,Hamilton,46,18057
266,Indiana,Hendricks,37,18063
267,Indiana,Henry,44,18065
268,Indiana,Howard,45,18067
269,Indiana,Knox,39,18083
270,Indiana,LaPorte,39,18091
271,Indiana,Lake,55,18089
272,Indiana,Madison,48,18095
273,Indiana,Marion,60,18097
274,Indiana,Monroe,40,18105
275,Indiana,Perry,38,18123
276,Indiana,Porter,48,18127
277,Indiana,Posey,38,18129
278,Indiana,Shelby,37,18145
279,Indiana,Spencer,43,18147
280,Indiana,St. Joseph,51,18141
281,Indiana,Tippecanoe,42,18157
282,Indiana,Vanderburgh,52,18163
283,Indiana,Vigo,51,18167
284,Indiana,Wabash,36,18169
285,Indiana,Warrick,38,18173
286,Indiana,Whitley,48,18183
287,Iowa,Black Hawk,53,19013
288,Iowa,Bremer,42,19017
289,Iowa,Cerro Gordo,19,19033
290,Iowa,Clinton,54,19045
291,Iowa,Harrison,44,19085
292,Iowa,Johnson,53,19103
293,Iowa,Lee,47,19111
294,Iowa,Linn,54,19113
295,Iowa,Montgomery,44,19137
296,Iowa,Muscatine,49,19139
297,Iowa,Palo Alto,46,19147
298,Iowa,Polk,52,19153
299,Iowa,Pottawattamie,49,19155
300,Iowa,Scott,53,19163
301,Iowa,Van Buren,46,19177
302,Iowa,Woodbury,43,19193
303,Kansas,Chase,29,20017
304,Kansas,Ford,15,20057
305,Kansas,Johnson,49,20091
306,Kansas,Leavenworth,37,20103
307,Kansas,Neosho,54,20133
308,Kansas,Sedgwick,48,20173
309,Kansas,Shawnee,48,20177
310,Kansas,Sherman,19,20181
311,Kansas,Sumner,51,20191
312,Kansas,Trego,47,20195
313,Kansas,Wyandotte,51,20209
314,Kentucky,Bell,49,21013
315,Kentucky,Boone,44,21015
316,Kentucky,Boyd,46,21019
317,Kentucky,Bullitt,44,21029
318,Kentucky,Campbell,44,21037
319,Kentucky,Carter,40,21043
320,Kentucky,Christian,47,21047
321,Kentucky,Daviess,51,21059
322,Kentucky,Edmonson,39,21061
323,Kentucky,Fayette,45,21067
324,Kentucky,Greenup,39,21089
325,Kentucky,Hancock,42,21091
326,Kentucky,Hardin,45,21093
327,Kentucky,Jefferson,55,21111
328,Kentucky,Jessamine,43,21113
329,Kentucky,Livingston,42,21139
330,Kentucky,McCracken,47,21145
331,Kentucky,Morgan,38,21175
332,Kentucky,Oldham,42,21185
333,Kentucky,Perry,45,21193
334,Kentucky,Pike,39,21195
335,Kentucky,Pulaski,45,21199
336,Kentucky,Simpson,43,21213
337,Kentucky,Warren,44,21227
338,Kentucky,Washington,40,21229
339,Louisiana,Ascension,34,22005
340,Louisiana,Bossier,53,22015
341,Louisiana,Caddo,38,22017
342,Louisiana,Calcasieu,54,22019
343,Louisiana,East Baton Rouge,52,22033
344,Louisiana,Iberville,44,22047
345,Louisiana,Jefferson,51,22051
346,Louisiana,Lafayette,47,22055
347,Louisiana,Lafourche,53,22057
348,Louisiana,Livingston,54,22063
349,Louisiana,Orleans,41,22071
350,Louisiana,Ouachita,38,22073
351,Louisiana,Pointe Coupee,36,22077
352,Louisiana,Rapides,43,22079
353,Louisiana,St. Bernard,52,22087
354,Louisiana,St. James,33,22093
355,Louisiana,St. John the Baptist,35,22095
356,Louisiana,St. Martin,37,22099
357,Louisiana,St. Tammany,42,22103
358,Louisiana,Tangipahoa,43,22105
359,Louisiana,Terrebonne,43,22109
360,Louisiana,West Baton Rouge,52,22121
361,Maine,Androscoggin,35,23001
362,Maine,Aroostook,37,23003
363,Maine,Cumberland,40,23005
364,Maine,Hancock,38,23009
365,Maine,Kennebec,37,23011
366,Maine,Knox,33,23013
367,Maine,Oxford,38,23017
368,Maine,Penobscot,35,23019
369,Maine,Sagadahoc,39,23023
370,Maine,Washington,36,23029
371,Maine,York,35,23031
372,Maryland,Anne Arundel,40,24003
373,Maryland,Baltimore,45,24510
374,Maryland,Baltimore (City),44,
375,Maryland,Calvert,42,24009
376,Maryland,Carroll,44,24013
377,Maryland,Cecil,42,24015
378,Maryland,Charles,42,24017
379,Maryland,Dorchester,44,24019
380,Maryland,Frederick,44,24021
381,Maryland,Garrett,40,24023
382,Maryland,Harford,45,24025
383,Maryland,Howard,38,24027
384,Maryland,Kent,41,24029
385,Maryland,Montgomery,42,24031
386,Maryland,Prince George's,44,24033
387,Maryland,Washington,42,24043
388,Massachusetts,Barnstable,37,25001
389,Massachusetts,Berkshire,41,25003
390,Massachusetts,Bristol,42,25005
391,Massachusetts,Dukes,38,25007
392,Massachusetts,Essex,44,25009
393,Massachusetts,Franklin,43,25011
394,Massachusetts,Hampden,46,25013
395,Massachusetts,Hampshire,38,25015
396,Massachusetts,Middlesex,39,25017
397,Massachusetts,Norfolk,41,25021
398,Massachusetts,Plymouth,40,25023
399,Massachusetts,Suffolk,44,25025
400,Massachusetts,Worcester,39,25027
401,Michigan,Allegan,42,26005
402,Michigan,Bay,42,26017
403,Michigan,Benzie,38,26019
404,Michigan,Berrien,42,26021
405,Michigan,Cass,42,26027
406,Michigan,Clinton,38,26037
407,Michigan,Genesee,44,26049
408,Michigan,Huron,39,26063
409,Michigan,Ingham,43,26065
410,Michigan,Kalamazoo,53,26077
411,Michigan,Kent,49,26081
412,Michigan,Keweenaw,16,26083
413,Michigan,Lenawee,50,26091
414,Michigan,Macomb,51,26099
415,Michigan,Manistee,39,26101
416,Michigan,Mason,40,26105
417,Michigan,Missaukee,48,26113
418,Michigan,Monroe,25,26115
419,Michigan,Muskegon,41,26121
420,Michigan,Oakland,41,26125
421,Michigan,Ottawa,51,26139
422,Michigan,Schoolcraft,36,26153
423,Michigan,St. Clair,49,26147
424,Michigan,Tuscola,34,26157
425,Michigan,Washtenaw,52,26161
426,Michigan,Wayne,61,26163
427,Michigan,Wexford,35,26165
428,Minnesota,Anoka,46,27003
429,Minnesota,Becker,44,27005
430,Minnesota,Beltrami,27,27007
431,Minnesota,Carlton,38,27017
432,Minnesota,Cass,32,27021
433,Minnesota,Cook,13,27031
434,Minnesota,Crow Wing,43,27035
435,Minnesota,Dakota,49,27037
436,Minnesota,Goodhue,43,27049
437,Minnesota,Hennepin,52,27053
438,Minnesota,Lake,36,27075
439,Minnesota,Lyon,46,27083
440,Minnesota,Mille Lacs,40,27095
441,Minnesota,Olmsted,49,27109
442,Minnesota,Ramsey,49,27123
443,Minnesota,Saint Louis,44,27137
444,Minnesota,Scott,51,27139
445,Minnesota,Stearns,48,27145
