,State,County,Median AQI,FIPS,Income
327,Kentucky,McCracken,47,21145.0,64990
328,Kentucky,Morgan,38,21175.0,34380
329,Kentucky,Oldham,42,21185.0,82531
330,Kentucky,Perry,45,21193.0,46219
331,Kentucky,Pike,39,21195.0,46272
332,Kentucky,Pulaski,45,21199.0,49580
333,Kentucky,Simpson,43,21213.0,46907
334,Kentucky,Warren,44,21227.0,48546
335,Kentucky,Washington,40,21229.0,47570
336,Louisiana,Ascension,34,22005.0,63811
337,Louisiana,Bossier,53,22015.0,56326
338,Louisiana,Caddo,38,22017.0,64383
339,Louisiana,Calcasieu,54,22019.0,54129
340,Louisiana,East Baton Rouge,52,22033.0,66726
341,Louisiana,Iberville,44,22047.0,55730
342,Louisiana,Jefferson,51,22051.0,63448
343,Louisiana,Lafayette,47,22055.0,66179
344,Louisiana,Lafourche,53,22057.0,57643
345,Louisiana,Livingston,54,22063.0,52193
346,Louisiana,Orleans,41,22071.0,67403
347,Louisiana,Ouachita,38,22073.0,49818
348,Louisiana,Pointe Coupee,36,22077.0,60708
349,Louisiana,Rapides,43,22079.0,56169
350,Louisiana,St. Bernard,52,22087.0,43959
351,Louisiana,St. James,33,22093.0,70185
352,Louisiana,St. John the Baptist,35,22095.0,47598
353,Louisiana,St. Martin,37,22099.0,48737
354,Louisiana,St. Tammany,42,22103.0,78246
355,Louisiana,Tangipahoa,43,22105.0,50875
356,Louisiana,Terrebonne,43,22109.0,53834
357,Louisiana,West Baton Rouge,52,22121.0,57094
358,Maine,Androscoggin,35,23001.0,53731
359,Maine,Aroostook,37,23003.0,53650
360,Maine,Cumberland,40,23005.0,84606
361,Maine,Hancock,38,23009.0,68181
362,Maine,Kennebec,37,23011.0,58278
363,Maine,Knox,33,23013.0,67794
364,Maine,Oxford,38,23017.0,50165
365,Maine,Penobscot,35,23019.0,53978
366,Maine,Sagadahoc,39,23023.0,67538
367,Maine,Washington,36,23029.0,52366
368,Maine,York,35,23031.0,70640
369,Maryland,Anne Arundel,40,24003.0,84019
370,Maryland,Baltimore,45,24510.0,74738
371,Maryland,Baltimore,45,24510.0,64357
372,Maryland,Calvert,42,24009.0,76018
373,Maryland,Carroll,44,24013.0,74895
374,Maryland,Cecil,42,24015.0,59373
375,Maryland,Charles,42,24017.0,66642
376,Maryland,Dorchester,44,24019.0,57060
377,Maryland,Frederick,44,24021.0,76664
378,Maryland,Garrett,40,24023.0,57525
379,Maryland,Harford,45,24025.0,71196
380,Maryland,Howard,38,24027.0,95529
381,Maryland,Kent,41,24029.0,77025
382,Maryland,Montgomery,42,24031.0,100044
383,Maryland,Prince George's,44,24033.0,57096
384,Maryland,Washington,42,24043.0,56174
385,Massachusetts,Barnstable,37,25001.0,92417
386,Massachusetts,Berkshire,41,25003.0,70945
387,Massachusetts,Bristol,42,25005.0,67109
388,Massachusetts,Dukes,38,25007.0,98605
389,Massachusetts,Essex,44,25009.0,84017
390,Massachusetts,Franklin,43,25011.0,67327
391,Massachusetts,Hampden,46,25013.0,64105
392,Massachusetts,Hampshire,38,25015.0,63544
393,Massachusetts,Middlesex,39,25017.0,108773
394,Massachusetts,Norfolk,41,25021.0,115585
395,Massachusetts,Plymouth,40,25023.0,84693
396,Massachusetts,Suffolk,44,25025.0,107027
397,Massachusetts,Worcester,39,25027.0,69301
398,Michigan,Allegan,42,26005.0,58048
399,Michigan,Bay,42,26017.0,52579
400,Michigan,Benzie,38,26019.0,60458
401,Michigan,Berrien,42,26021.0,61127
402,Michigan,Cass,42,26027.0,57612
403,Michigan,Clinton,38,26037.0,60589
404,Michigan,Genesee,44,26049.0,52520
405,Michigan,Huron,39,26063.0,61320
406,Michigan,Ingham,43,26065.0,52560
407,Michigan,Kalamazoo,53,26077.0,63668
408,Michigan,Kent,49,26081.0,70662
409,Michigan,Keweenaw,16,26083.0,60716
410,Michigan,Lenawee,50,26091.0,51391
411,Michigan,Macomb,51,26099.0,58565
412,Michigan,Manistee,39,26101.0,48967
413,Michigan,Mason,40,26105.0,50216
414,Michigan,Missaukee,48,26113.0,45640
415,Michigan,Monroe,25,26115.0,59956
416,Michigan,Muskegon,41,26121.0,49244
417,Michigan,Oakland,41,26125.0,90781
418,Michigan,Ottawa,51,26139.0,63265
419,Michigan,Schoolcraft,36,26153.0,48919
420,Michigan,St. Clair,49,26147.0,55834
421,Michigan,Tuscola,34,26157.0,47501
422,Michigan,Washtenaw,52,26161.0,77537
423,Michigan,Wayne,61,26163.0,52727
424,Michigan,Wexford,35,26165.0,45996
425,Minnesota,Anoka,46,27003.0,62935
426,Minnesota,Becker,44,27005.0,60360
427,Minnesota,Beltrami,27,27007.0,53382
428,Minnesota,Carlton,38,27017.0,52392
429,Minnesota,Cass,32,27021.0,57880
430,Minnesota,Cook,13,27031.0,65513
431,Minnesota,Crow Wing,43,27035.0,56919
432,Minnesota,Dakota,49,27037.0,75019
433,Minnesota,Goodhue,43,27049.0,65921
434,Minnesota,Hennepin,52,27053.0,95574
435,Minnesota,Lake,36,27075.0,57668
436,Minnesota,Lyon,46,27083.0,61228
437,Minnesota,Mille Lacs,40,27095.0,53553
438,Minnesota,Olmsted,49,27109.0,71904
439,Minnesota,Ramsey,49,27123.0,69310
440,Minnesota,Saint Louis,44,27137.0,59235
441,Minnesota,Scott,51,27139.0,81213
442,Minnesota,Stearns,48,27145.0,63053
443,Minnesota,Washington,42,27163.0,84018
444,Minnesota,Winona,28,27169.0,58318
445,Minnesota,Wright,49,27171.0,65241
446,Mississippi,Bolivar,52,28011.0,51015
447,Mississippi,DeSoto,54,28033.0,56470
448,Mississippi,Forrest,53,28035.0,45405
449,Mississippi,Hancock,50,28045.0,48425
450,Mississippi,Harrison,51,28047.0,48902
451,Mississippi,Hinds,54,28049.0,51350
452,Mississippi,Jackson,51,28059.0,48028
453,Mississippi,Lauderdale,38,28075.0,50952
454,Mississippi,Lee,42,28081.0,54255
455,Mississippi,Yalobusha,36,28161.0,44057
456,Missouri,Andrew,43,29003.0,54504
457,Missouri,Boone,42,29019.0,60158
458,Missouri,Buchanan,48,29021.0,51741
459,Missouri,Callaway,43,29027.0,50652
460,Missouri,Cass,44,29037.0,59720
461,Missouri,Cedar,44,29039.0,40183
462,Missouri,Clay,43,29047.0,60043
463,Missouri,Clinton,44,29049.0,52880
464,Missouri,Greene,49,29077.0,56350
465,Missouri,Jackson,52,29095.0,57518
466,Missouri,Jasper,42,29097.0,47246
467,Missouri,Jefferson,44,29099.0,55195
468,Missouri,Lincoln,44,29113.0,53300
469,Missouri,Monroe,38,29137.0,56061
470,Missouri,Perry,44,29157.0,53134
471,Missouri,Saint Charles,45,29183.0,69693
472,Missouri,Saint Louis,46,29510.0,101151
473,Missouri,Saint Louis,46,29510.0,63316
474,Missouri,Sainte Genevieve,44,29186.0,50899
475,Missouri,St. Louis City,58,29510.0,101151
476,Missouri,St. Louis City,58,29510.0,63316
477,Missouri,Stoddard,37,29207.0,47497
478,Missouri,Taney,29,29213.0,48862
479,Montana,Beaverhead,13,30001.0,59595
480,Montana,Cascade,50,30013.0,60126
481,Montana,Custer,39,30017.0,55578
482,Montana,Fergus,41,30027.0,54647
483,Montana,Flathead,43,30029.0,68725
484,Montana,Gallatin,26,30031.0,87254
485,Montana,Glacier,12,30035.0,48573
486,Montana,Hill,23,30041.0,55344
487,Montana,Lake,13,30047.0,49027
488,Montana,Lewis and Clark,45,30049.0,62214
489,Montana,Lincoln,53,30053.0,47487
490,Montana,Missoula,53,30063.0,68344
491,Montana,Phillips,38,30071.0,45314
492,Montana,Powder River,44,30075.0,46200
493,Montana,Powell,14,30077.0,53396
494,Montana,Ravalli,22,30081.0,63195
495,Montana,Richland,39,30083.0,72410
496,Montana,Roosevelt,13,30085.0,45113
497,Montana,Rosebud,3,30087.0,55754
498,Montana,Sanders,37,30089.0,45599
499,Montana,Sheridan,18,30091.0,55175
500,Montana,Silver Bow,31,30093.0,60001
501,Montana,Yellowstone,29,30111.0,68959
502,Nebraska,Cass,17,31025.0,67310
503,Nebraska,Douglas,45,31055.0,81570
504,Nebraska,Gage,34,31067.0,80101
505,Nebraska,Hall,35,31079.0,59802
506,Nebraska,Knox,41,31107.0,66048
507,Nebraska,Lancaster,42,31109.0,66280
508,Nebraska,Sarpy,37,31153.0,66625
509,Nebraska,Scotts Bluff,21,31157.0,57327
510,Nebraska,Washington,33,31177.0,74042
511,Nevada,Carson City,47,32510.0,63498
512,Nevada,Churchill,43,32001.0,56685
513,Nevada,Clark,61,32003.0,63767
514,Nevada,Douglas,28,32005.0,100931
515,Nevada,Elko,31,32007.0,56996
516,Nevada,Lyon,41,32019.0,50379
517,Nevada,Nye,19,32023.0,44626
518,Nevada,Washoe,50,32031.0,81371
519,Nevada,White Pine,44,32033.0,63243
520,New Hampshire,Belknap,35,33001.0,79465
521,New Hampshire,Cheshire,41,33005.0,67094
522,New Hampshire,Coos,43,33007.0,55665
523,New Hampshire,Grafton,37,33009.0,79934
524,New Hampshire,Hillsborough,39,33011.0,76187
525,New Hampshire,Merrimack,39,33013.0,73531
526,New Hampshire,Rockingham,40,33015.0,97082
527,New Jersey,Atlantic,38,34001.0,60493
528,New Jersey,Bergen,48,34003.0,102229
529,New Jersey,Camden,50,34007.0,64987
530,New Jersey,Cumberland,43,34011.0,49367
531,New Jersey,Gloucester,43,34015.0,66061
532,New Jersey,Hudson,44,34017.0,79982
533,New Jersey,Hunterdon,44,34019.0,105801
534,New Jersey,Mercer,49,34021.0,84392
535,New Jersey,Middlesex,44,34023.0,75352
536,New Jersey,Monmouth,39,34025.0,100477
537,New Jersey,Morris,37,34027.0,115850
538,New Jersey,Ocean,42,34029.0,62195
539,New Jersey,Passaic,42,34031.0,60002
540,New Jersey,Union,52,34039.0,82502
541,New Jersey,Warren,41,34041.0,66483
542,New Mexico,Bernalillo,59,35001.0,58895
543,New Mexico,Catron,13,35003.0,41950
544,New Mexico,Chaves,24,35005.0,52720
545,New Mexico,Dona Ana,52,35013.0,47712
546,New Mexico,Eddy,49,35015.0,76555
547,New Mexico,Lea,45,35025.0,58422
548,New Mexico,Lincoln,14,35027.0,54474
549,New Mexico,Los Alamos,14,35028.0,91773
550,New Mexico,Luna,16,35029.0,40299
551,New Mexico,Rio Arriba,43,35039.0,45521
552,New Mexico,San Juan,46,35045.0,46055
553,New Mexico,Sandoval,44,35043.0,56559
554,New Mexico,Santa Fe,44,35049.0,77717
555,New Mexico,Socorro,14,35053.0,45149
556,New Mexico,Taos,20,35055.0,49430
557,New Mexico,Valencia,42,35061.0,46944
558,New York,Albany,42,36001.0,78464
559,New York,Bronx,47,36005.0,44736
560,New York,Chautauqua,37,36013.0,49640
561,New York,Dutchess,33,36027.0,71391
562,New York,Erie,48,36029.0,62207
563,New York,Essex,42,36031.0,58326
564,New York,Hamilton,33,36041.0,59276
565,New York,Jefferson,33,36045.0,54926
566,New York,Kings,46,36047.0,67081
567,New York,Monroe,42,36055.0,63593
568,New York,Nassau,31,36059.0,104873
569,New York,New York,48,36061.0,214991
570,New York,Niagara,33,36063.0,56135
571,New York,Oneida,32,36065.0,56075
572,New York,Onondaga,40,36067.0,63854
573,New York,Orange,34,36071.0,60539
574,New York,Oswego,33,36075.0,49548
575,New York,Putnam,32,36079.0,84598
576,New York,Queens,50,36081.0,60271
577,New York,Richmond,42,36085.0,66807
578,New York,Rockland,38,36087.0,71330
579,New York,Saratoga,31,36091.0,81008
580,New York,Steuben,40,36101.0,56349
581,New York,Suffolk,41,36103.0,88816
582,New York,Tompkins,35,36109.0,54159
583,New York,Wayne,33,36117.0,57109
584,New York,Westchester,39,36119.0,130834
585,North Carolina,Alexander,38,37003.0,49694
586,North Carolina,Avery,39,37011.0,50256
587,North Carolina,Buncombe,43,37021.0,66288
588,North Carolina,Caldwell,40,37027.0,47398
589,North Carolina,Carteret,38,37031.0,68500
590,North Carolina,Caswell,36,37033.0,43437
591,North Carolina,Catawba,43,37035.0,57624
592,North Carolina,Cumberland,48,37051.0,48345
593,North Carolina,Davidson,47,37057.0,51406
594,North Carolina,Durham,44,37063.0,64059
595,North Carolina,Edgecombe,41,37065.0,47194
596,North Carolina,Forsyth,52,37067.0,60481
597,North Carolina,Graham,46,37075.0,44387
598,North Carolina,Granville,43,37077.0,49896
599,North Carolina,Guilford,50,37081.0,59170
600,North Carolina,Haywood,45,37087.0,53755
601,North Carolina,Hyde,26,37095.0,52292
602,North Carolina,Johnston,44,37101.0,52757
603,North Carolina,Lenoir,39,37107.0,53456
604,North Carolina,Lincoln,43,37109.0,61859
605,North Carolina,Macon,34,37113.0,52844
606,North Carolina,Martin,36,37117.0,44368
607,North Carolina,Mecklenburg,51,37119.0,82500
608,North Carolina,Mitchell,33,37121.0,47047
609,North Carolina,Montgomery,48,37123.0,48050
610,North Carolina,New Hanover,44,37129.0,64831
611,North Carolina,Northampton,37,37131.0,49507
612,North Carolina,Person,41,37145.0,48911
613,North Carolina,Pitt,42,37147.0,56956
614,North Carolina,Rockingham,43,37157.0,48622
615,North Carolina,Rowan,47,37159.0,49008
616,North Carolina,Swain,40,37173.0,55328
617,North Carolina,Union,43,37179.0,72553
618,North Carolina,Wake,49,37183.0,81322
619,North Carolina,Yancey,45,37199.0,45449
620,North Dakota,Billings,39,38007.0,89603
621,North Dakota,Burke,44,38013.0,89281
622,North Dakota,Burleigh,42,38015.0,75321
623,North Dakota,Cass,50,38017.0,73185
624,North Dakota,Dunn,41,38025.0,103731
625,North Dakota,McKenzie,39,38053.0,84357
