"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Southeast Fairbanks Census Area,"59,271","60,687","62,909",23,2.4,3.7,19
Wrangell City and Borough,"60,337","61,239","65,946",18,1.5,7.7,5
Yakutat City and Borough,"62,975","63,206","65,099",21,0.4,3.0,23
Yukon-Koyukuk Census Area,"62,243","65,698","69,573",17,5.6,5.9,13
,,,,,,,
Arizona,"56,976","58,968","62,543",--,3.5,6.1,--
Apache,"46,084","46,201","47,885",11,0.3,3.6,12
Cochise,"49,715","50,530","53,304",7,1.6,5.5,9
Coconino,"58,092","58,396","62,002",2,0.5,6.2,5
Gila,"49,597","50,254","52,984",8,1.3,5.4,10
Graham,"39,152","41,593","42,787",15,6.2,2.9,15
Greenlee,"48,308","54,052","57,359",5,11.9,6.1,7
La Paz,"52,938","56,698","58,739",3,7.1,3.6,13
Maricopa,"61,611","64,155","68,111",1,4.1,6.2,6
Mohave,"42,978","43,657","46,777",12,1.6,7.1,2
Navajo,"42,360","42,925","44,667",14,1.3,4.1,11
Pima,"53,631","54,776","58,232",4,2.1,6.3,3
Pinal,"44,808","46,876","49,829",9,4.6,6.3,4
Santa Cruz,"47,893","46,692","49,416",10,-2.5,5.8,8
Yavapai,"50,645","51,921","55,913",6,2.5,7.7,1
Yuma,"44,461","45,028","46,441",13,1.3,3.1,14
,,,,,,,
Arkansas,"52,845","55,323","57,635",--,4.7,4.2,--
Arkansas,"59,314","59,601","63,938",3,0.5,7.3,3
Ashley,"43,191","45,808","46,686",34,6.1,1.9,52
Baxter,"44,248","44,928","46,819",32,1.5,4.2,24
Benton,"102,736","116,838","123,114",1,13.7,5.4,14
Boone,"42,915","43,571","44,528",40,1.5,2.2,49
Bradley,"47,499","48,498","48,387",27,2.1,-0.2,55
Calhoun,"46,680","46,697","49,037",23,0.0,5.0,18
Carroll,"41,135","42,656","41,516",58,3.7,-2.7,65
Chicot,"48,190","47,833","49,835",18,-0.7,4.2,25
Clark,"43,413","42,652","44,397",41,-1.8,4.1,26
Clay,"44,081","44,983","46,032",37,2.0,2.3,46
Cleburne,"47,988","48,829","51,355",11,1.8,5.2,17
Cleveland,"49,834","53,182","50,996",14,6.7,-4.1,69
Columbia,"44,543","45,919","48,542",26,3.1,5.7,10
Conway,"46,645","49,627","49,464",21,6.4,-0.3,56
Craighead,"47,006","47,688","49,625",20,1.5,4.1,27
Crawford,"41,707","42,418","43,595",46,1.7,2.8,40
Crittenden,"45,472","46,207","47,271",30,1.6,2.3,48
Cross,"43,198","43,308","45,553",38,0.3,5.2,16
Dallas,"46,801","47,557","48,893",24,1.6,2.8,39
Desha,"49,693","49,781","51,547",10,0.2,3.5,34
Drew,"46,335","47,521","48,730",25,2.6,2.5,44
Faulkner,"47,749","48,658","51,017",13,1.9,4.8,19
Franklin,"41,147","43,540","42,944",51,5.8,-1.4,58
Fulton,"35,207","35,245","36,218",72,0.1,2.8,41
Garland,"48,218","49,641","52,506",7,3.0,5.8,8
Grant,"46,320","47,895","50,128",16,3.4,4.7,21
Greene,"41,940","42,168","43,710",45,0.5,3.7,31
Hempstead,"40,914","44,087","42,015",56,7.8,-4.7,70
Hot Spring,"37,726","38,566","39,936",62,2.2,3.6,33
Howard,"43,568","48,857","44,311",42,12.1,-9.3,75
Independence,"42,999","45,816","47,318",29,6.6,3.3,36
Izard,"34,729","36,053","38,281",69,3.8,6.2,5
Jackson,"44,489","46,970","49,638",19,5.6,5.7,11
Jefferson,"41,329","41,959","43,046",49,1.5,2.6,43
Johnson,"35,320","36,276","35,549",74,2.7,-2.0,63
Lafayette,"47,801","50,981","50,109",17,6.7,-1.7,61
Lawrence,"40,541","43,390","43,536",47,7.0,0.3,54
Lee,"38,543","37,941","37,402",70,-1.6,-1.4,59
Lincoln,"32,926","34,185","32,565",75,3.8,-4.7,71
Little River,"40,962","42,173","42,731",52,3.0,1.3,53
Logan,"39,450","41,720","40,613",60,5.8,-2.7,64
Lonoke,"49,254","49,389","51,952",8,0.3,5.2,15
Madison,"43,456","46,040","42,673",53,5.9,-7.3,74
Marion,"37,642","37,718","39,163",66,0.2,3.8,30
Miller,"40,940","40,710","42,293",55,-0.6,3.9,28
Mississippi,"45,419","45,175","47,237",31,-0.5,4.6,22
Monroe,"42,738","42,766","45,511",39,0.1,6.4,4
Montgomery,"38,258","39,259","40,367",61,2.6,2.8,38
Nevada,"39,520","41,155","39,904",63,4.1,-3.0,67
Newton,"39,416","38,692","39,704",65,-1.8,2.6,42
Ouachita,"47,200","48,863","51,167",12,3.5,4.7,20
Perry,"44,206","46,682","47,868",28,5.6,2.5,45
Phillips,"46,103","45,580","46,576",35,-1.1,2.2,50
Pike,"40,945","43,077","42,381",54,5.2,-1.6,60
Poinsett,"43,038","44,827","46,750",33,4.2,4.3,23
Polk,"38,223","40,970","39,863",64,7.2,-2.7,66
Pope,"41,611","42,596","43,838",44,2.4,2.9,37
Prairie,"44,518","45,200","49,123",22,1.5,8.7,2
Pulaski,"60,866","62,244","65,851",2,2.3,5.8,7
Randolph,"40,480","41,323","41,112",59,2.1,-0.5,57
St. Francis,"36,737","36,624","37,401",71,-0.3,2.1,51
Saline,"51,493","51,944","54,851",6,0.9,5.6,12
Scott,"39,341","41,143","38,982",68,4.6,-5.3,72
Searcy,"35,386","33,890","35,719",73,-4.2,5.4,13
Sebastian,"48,400","48,589","50,348",15,0.4,3.6,32
Sevier,"42,258","45,766","42,946",50,8.3,-6.2,73
Sharp,"41,580","44,259","43,491",48,6.4,-1.7,62
Stone,"38,457","37,771","39,075",67,-1.8,3.5,35
Union,"51,839","53,759","56,838",5,3.7,5.7,9
Van Buren,"39,297","39,623","41,926",57,0.8,5.8,6
Washington,"49,529","50,623","51,797",9,2.2,2.3,47
White,"43,808","44,544","46,269",36,1.7,3.9,29
Woodruff,"50,233","51,621","57,492",4,2.8,11.4,1
Yell,"42,402","45,795","44,170",43,8.0,-3.5,68
,,,,,,,
California,"76,882","76,941","81,255",--,0.1,5.6,--
Alameda,"98,370","100,836","106,657",5,2.5,5.8,33
Alpine,"72,843","67,603","75,395",18,-7.2,11.5,1
Amador,"49,945","47,792","50,020",47,-4.3,4.7,49
Butte,"55,937","53,962","56,847",36,-3.5,5.3,40
Calaveras,"56,645","55,582","58,425",32,-1.9,5.1,45
Colusa,"59,056","55,572","58,303",33,-5.9,4.9,47
Contra Costa,"94,437","97,061","103,218",6,2.8,6.3,23
Del Norte,"44,626","43,820","47,141",53,-1.8,7.6,4
El Dorado,"79,332","79,567","84,533",11,0.3,6.2,24
Fresno,"51,977","50,440","52,728",44,-3.0,4.5,50
Glenn,"52,296","51,112","53,013",43,-2.3,3.7,54
Humboldt,"53,997","53,540","57,264",35,-0.8,7.0,10
Imperial,"48,487","45,622","47,991",51,-5.9,5.2,43
Inyo,"61,080","59,323","64,246",28,-2.9,8.3,3
Kern,"46,934","44,595","47,350",52,-5.0,6.2,28
Kings,"43,867","42,565","43,994",56,-3.0,3.4,56
Lake,"46,918","45,403","48,198",50,-3.2,6.2,29
Lassen,"40,835","41,087","43,736",57,0.6,6.4,19
Los Angeles,"73,343","74,378","78,302",15,1.4,5.3,42
Madera,"47,871","45,181","46,709",54,-5.6,3.4,55
Marin,"164,340","168,814","180,575",1,2.7,7.0,9
Mariposa,"60,465","60,943","65,423",24,0.8,7.4,5
Mendocino,"56,305","55,104","59,050",31,-2.1,7.2,7
Merced,"47,854","45,918","46,654",55,-4.0,1.6,58
Modoc,"55,635","57,888","60,674",29,4.0,4.8,48
Mono,"63,295","65,921","70,699",20,4.1,7.2,6
Monterey,"64,975","65,331","68,943",21,0.5,5.5,38
Napa,"87,015","89,219","94,973",7,2.5,6.4,18
Nevada,"70,364","71,115","75,539",17,1.1,6.2,26
Orange,"81,505","84,109","88,897",8,3.2,5.7,35
Placer,"79,424","80,052","85,265",10,0.8,6.5,15
Plumas,"58,564","59,805","64,856",26,2.1,8.4,2
Riverside,"51,558","50,995","53,750",40,-1.1,5.4,39
Sacramento,"61,752","61,965","65,104",25,0.3,5.1,46
San Benito,"62,228","62,275","66,310",23,0.1,6.5,16
San Bernardino,"49,741","48,683","51,194",45,-2.1,5.2,44
San Diego,"73,084","74,476","79,122",14,1.9,6.2,25
San Francisco,"160,155","155,190","164,807",3,-3.1,6.2,27
San Joaquin,"55,952","56,363","59,361",30,0.7,5.3,41
San Luis Obispo,"68,378","68,364","72,721",19,0.0,6.4,21
San Mateo,"173,524","162,863","172,828",2,-6.1,6.1,30
Santa Barbara,"76,392","77,419","82,736",13,1.3,6.9,11
Santa Clara,"143,938","142,708","151,003",4,-0.9,5.8,32
Santa Cruz,"88,329","83,277","88,581",9,-5.7,6.4,22
Shasta,"54,385","54,099","57,637",34,-0.5,6.5,14
Sierra,"47,419","50,451","53,251",41,6.4,5.5,36
Siskiyou,"52,624","51,657","55,052",38,-1.8,6.6,13
Solano,"59,755","61,019","64,514",27,2.1,5.7,34
Sonoma,"78,100","78,660","83,408",12,0.7,6.0,31
Stanislaus,"52,389","51,092","53,058",42,-2.5,3.8,53
Sutter,"53,513","51,756","53,900",39,-3.3,4.1,52
Tehama,"48,029","46,286","49,265",48,-3.6,6.4,20
Trinity,"35,829","35,925","38,243",58,0.3,6.5,17
Tulare,"49,064","46,995","48,253",49,-4.2,2.7,57
Tuolumne,"52,854","52,565","56,239",37,-0.5,7.0,8
Ventura,"74,252","73,994","78,091",16,-0.3,5.5,37
Yolo,"66,181","63,544","67,778",22,-4.0,6.7,12
Yuba,"49,250","48,398","50,587",46,-1.7,4.5,51
,,,,,,,
Colorado,"71,706","76,674","80,068",--,6.9,4.4,--
Adams,"53,144","56,659","58,851",34,6.6,3.9,45
Alamosa,"44,180","44,109","44,666",56,-0.2,1.3,59
Arapahoe,"73,433","77,902","81,414",13,6.1,4.5,34
Archuleta,"53,303","55,462","58,325",35,4.1,5.2,29
Baca,"50,041","58,111","60,686",32,16.1,4.4,35
Bent,"35,090","34,435","34,152",63,-1.9,-0.8,62
Boulder,"92,317","95,454","100,242",8,3.4,5.0,31
Broomfield,"81,234","85,815","90,712",9,5.6,5.7,20
Chaffee,"62,006","62,680","66,503",27,1.1,6.1,16
Cheyenne,"68,557","80,140","83,285",12,16.9,3.9,43
Clear Creek,"72,334","74,570","78,739",14,3.1,5.6,23
Conejos,"45,732","45,375","46,523",55,-0.8,2.5,54
Costilla,"41,771","40,297","40,830",61,-3.5,1.3,58
Crowley,"25,108","24,084","25,013",64,-4.1,3.9,46
Custer,"51,112","52,328","53,797",45,2.4,2.8,53
Delta,"46,230","48,013","50,137",49,3.9,4.4,36
Denver,"103,320","114,769","116,530",5,11.1,1.5,56
Dolores,"42,066","40,011","40,158",62,-4.9,0.4,60
Douglas,"89,702","97,353","102,928",7,8.5,5.7,19
Eagle,"102,019","117,317","128,041",4,15.0,9.1,3
Elbert,"71,317","73,541","76,970",15,3.1,4.7,33
El Paso,"59,507","61,990","65,715",28,4.2,6.0,17
Fremont,"41,689","42,300","43,608",58,1.5,3.1,49
Garfield,"62,077","66,646","71,629",20,7.4,7.5,8
Gilpin,"62,704","66,634","69,394",24,6.3,4.1,41
Grand,"62,941","69,728","73,848",19,10.8,5.9,18
Gunnison,"61,661","65,783","70,391",23,6.7,7.0,11
Hinsdale,"59,426","63,872","70,643",22,7.5,10.6,1
