"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Clinch,"42,287","43,977","45,218",79,4.0,2.8,103
Cobb,"67,894","71,749","75,176",6,5.7,4.8,40
Coffee,"40,921","39,321","40,334",131,-3.9,2.6,116
Colquitt,"40,854","41,512","42,437",107,1.6,2.2,126
Columbia,"58,551","59,114","61,147",14,1.0,3.4,83
Cook,"39,746","39,357","40,392",130,-1.0,2.6,112
Coweta,"57,523","59,223","62,396",13,3.0,5.4,23
Crawford,"40,611","40,842","40,651",129,0.6,-0.5,147
Crisp,"46,242","46,153","48,309",49,-0.2,4.7,42
Dade,"41,069","42,382","43,769",96,3.2,3.3,91
Dawson,"57,601","60,181","63,599",9,4.5,5.7,15
Decatur,"42,214","43,054","44,657",85,2.0,3.7,75
DeKalb,"62,228","64,669","67,811",8,3.9,4.9,38
Dodge,"37,957","36,395","38,758",140,-4.1,6.5,8
Dooly,"44,576","45,682","43,325",101,2.5,-5.2,157
Dougherty,"46,311","45,927","47,803",54,-0.8,4.1,63
Douglas,"43,879","43,755","45,636",73,-0.3,4.3,56
Early,"44,303","43,928","44,161",89,-0.8,0.5,143
Echols,"35,156","33,357","34,289",154,-5.1,2.8,105
Effingham,"48,317","48,805","50,587",36,1.0,3.7,77
Elbert,"41,802","43,130","44,067",90,3.2,2.2,127
Emanuel,"41,399","39,618","41,102",124,-4.3,3.7,74
Evans,"41,080","40,658","42,033",112,-1.0,3.4,84
Fannin,"47,735","51,143","54,467",23,7.1,6.5,7
Fayette,"74,418","73,658","77,577",5,-1.0,5.3,24
Floyd,"44,177","44,332","46,727",62,0.4,5.4,21
Forsyth,"74,584","79,986","84,447",3,7.2,5.6,16
Franklin,"40,801","44,534","41,656",120,9.1,-6.5,159
Fulton,"100,995","100,577","106,131",1,-0.4,5.5,19
Gilmer,"42,781","45,922","47,155",57,7.3,2.7,110
Glascock,"41,115","39,759","41,959",114,-3.3,5.5,18
Glynn,"57,800","59,663","62,751",12,3.2,5.2,28
Gordon,"43,088","45,387","45,960",67,5.3,1.3,136
Grady,"39,414","38,461","39,758",132,-2.4,3.4,85
Greene,"73,024","79,451","82,896",4,8.8,4.3,55
Gwinnett,"50,066","51,729","54,331",24,3.3,5.0,34
Habersham,"39,366","40,550","40,806",127,3.0,0.6,142
Hall,"55,114","57,126","60,036",17,3.7,5.1,31
Hancock,"35,097","36,195","36,621",149,3.1,1.2,137
Haralson,"44,224","45,239","46,887",61,2.3,3.6,78
Harris,"56,765","57,319","60,495",16,1.0,5.5,17
Hart,"43,869","46,161","46,368",64,5.2,0.4,144
Heard,"41,117","41,139","41,968",113,0.1,2.0,129
Henry,"46,638","47,590","49,576",42,2.0,4.2,57
Houston,"49,419","48,502","50,250",37,-1.9,3.6,80
Irwin,"42,700","44,027","45,263",78,3.1,2.8,104
Jackson,"52,143","56,230","58,834",19,7.8,4.6,43
Jasper,"46,208","47,025","49,780",41,1.8,5.9,13
Jeff Davis,"37,926","37,649","38,657",141,-0.7,2.7,111
Jefferson,"42,705","42,441","45,063",82,-0.6,6.2,10
Jenkins,"37,731","36,612","38,045",143,-3.0,3.9,68
Johnson,"34,595","32,515","34,237",155,-6.0,5.3,25
Jones,"44,453","44,111","45,119",81,-0.8,2.3,123
Lamar,"43,577","44,382","45,645",72,1.8,2.8,102
Lanier,"35,842","34,297","35,327",152,-4.3,3.0,96
Laurens,"43,900","43,178","45,805",68,-1.6,6.1,11
Lee,"51,606","51,788","53,825",27,0.4,3.9,66
Liberty,"40,896","40,145","41,343",122,-1.8,3.0,98
Lincoln,"47,721","46,639","48,452",47,-2.3,3.9,70
Long,"40,511","39,205","40,741",128,-3.2,3.9,67
Lowndes,"44,291","43,835","45,758",70,-1.0,4.4,51
Lumpkin,"47,607","47,008","49,173",43,-1.3,4.6,45
McDuffie,"43,686","43,320","44,291",87,-0.8,2.2,124
McIntosh,"47,686","48,910","50,929",35,2.6,4.1,62
Macon,"39,911","44,156","41,839",115,10.6,-5.2,158
Madison,"43,669","47,184","46,890",60,8.0,-0.6,148
Marion,"40,048","38,561","39,386",135,-3.7,2.1,128
Meriwether,"44,139","44,563","46,981",59,1.0,5.4,20
Miller,"52,636","52,307","52,904",28,-0.6,1.1,138
Mitchell,"44,957","45,403","44,877",83,1.0,-1.2,149
Monroe,"53,806","54,718","56,136",22,1.7,2.6,114
Montgomery,"38,661","36,905","37,828",145,-4.5,2.5,119
Morgan,"60,541","61,293","63,507",10,1.2,3.6,79
Murray,"37,345","38,242","38,846",139,2.4,1.6,132
Muscogee,"47,719","49,232","51,442",33,3.2,4.5,48
Newton,"42,087","42,052","43,952",93,-0.1,4.5,47
Oconee,"75,826","83,265","87,461",2,9.8,5.0,33
Oglethorpe,"44,338","47,061","47,014",58,6.1,-0.1,146
Paulding,"46,912","47,668","50,181",39,1.6,5.3,26
Peach,"44,926","44,579","46,062",66,-0.8,3.3,89
Pickens,"58,192","60,575","63,367",11,4.1,4.6,44
Pierce,"42,709","41,894","42,832",102,-1.9,2.2,125
Pike,"49,110","50,567","52,786",29,3.0,4.4,50
Polk,"39,380","40,471","41,831",116,2.8,3.4,86
Pulaski,"42,601","40,972","41,152",123,-3.8,0.4,145
Putnam,"53,333","56,375","58,653",20,5.7,4.0,64
Quitman,"38,421","38,170","39,745",133,-0.7,4.1,61
Rabun,"51,221","51,594","54,148",25,0.7,5.0,36
Randolph,"43,582","43,105","45,285",77,-1.1,5.1,32
Richmond,"43,648","43,788","45,441",75,0.3,3.8,72
Rockdale,"42,060","41,751","43,568",97,-0.7,4.4,54
Schley,"45,008","44,323","45,658",71,-1.5,3.0,95
Screven,"40,788","41,260","42,295",109,1.2,2.5,118
Seminole,"47,235","45,171","47,396",56,-4.4,4.9,37
Spalding,"43,034","42,870","44,742",84,-0.4,4.4,52
Stephens,"43,644","45,412","46,093",65,4.1,1.5,133
Stewart,"34,013","36,565","36,853",147,7.5,0.8,139
Sumter,"43,601","43,918","45,394",76,0.7,3.4,87
Talbot,"47,665","45,894","49,053",44,-3.7,6.9,6
Taliaferro,"41,489","43,516","41,595",121,4.9,-4.4,156
Tattnall,"35,093","36,912","35,381",151,5.2,-4.1,155
Taylor,"39,841","38,507","42,058",111,-3.3,9.2,3
Telfair,"30,518","28,959","34,086",156,-5.1,17.7,1
Terrell,"47,820","46,980","48,546",45,-1.8,3.3,88
Thomas,"53,047","54,279","57,135",21,2.3,5.3,27
Tift,"45,183","46,098","48,399",48,2.0,5.0,35
Toombs,"42,946","42,852","44,036",91,-0.2,2.8,108
Towns,"47,344","48,175","51,955",30,1.8,7.8,4
Treutlen,"38,425","39,341","41,701",118,2.4,6.0,12
Troup,"44,938","45,331","47,658",55,0.9,5.1,29
Turner,"38,473","38,501","39,005",138,0.1,1.3,135
Twiggs,"45,043","43,948","45,169",80,-2.4,2.8,106
Union,"44,841","45,528","47,853",53,1.5,5.1,30
Upson,"41,348","42,144","43,541",98,1.9,3.3,90
Walker,"41,454","42,812","44,195",88,3.3,3.2,92
Walton,"50,551","52,511","53,871",26,3.9,2.6,115
Ware,"39,656","39,208","39,743",134,-1.1,1.4,134
Warren,"41,872","41,268","42,403",108,-1.4,2.8,109
Washington,"42,372","41,789","43,518",99,-1.4,4.1,59
Wayne,"39,037","38,345","39,274",136,-1.8,2.4,121
Webster,"41,294","39,860","43,964",92,-3.5,10.3,2
Wheeler,"23,830","23,466","24,588",159,-1.5,4.8,39
White,"48,170","48,617","50,043",40,0.9,2.9,100
Whitfield,"46,950","46,258","47,955",51,-1.5,3.7,76
Wilcox,"32,535","33,792","32,581",158,3.9,-3.6,154
Wilkes,"48,359","52,431","51,478",32,8.4,-1.8,150
Wilkinson,"43,144","42,270","43,443",100,-2.0,2.8,107
Worth,"41,743","41,713","42,753",105,-0.1,2.5,120
,,,,,,,
Hawaii,"61,063","62,564","66,175",--,2.5,5.8,--
Hawaii,"50,333","50,559","52,866",4,0.4,4.6,3
Honolulu,"63,755","65,708","69,893",1,3.1,6.4,1
Kauai,"56,643","58,335","61,257",3,3.0,5.0,2
Maui + Kalawao,"59,914","60,502","62,816",2,1.0,3.8,4
,,,,,,,
Idaho,"55,417","57,140","59,385",--,3.1,3.9,--
Ada,"65,449","69,285","72,588",2,5.9,4.8,7
Adams,"46,156","43,876","45,707",37,-4.9,4.2,12
Bannock,"46,712","48,013","50,084",20,2.8,4.3,10
Bear Lake,"46,768","48,079","49,045",24,2.8,2.0,29
Benewah,"44,951","44,057","45,633",38,-2.0,3.6,17
Bingham,"46,385","47,942","48,780",26,3.4,1.7,30
Blaine,"164,906","174,956","187,239",1,6.1,7.0,2
Boise,"53,910","52,428","54,614",14,-2.7,4.2,13
Bonner,"52,470","53,102","55,464",10,1.2,4.4,8
Bonneville,"63,149","57,516","60,032",8,-8.9,4.4,9
Boundary,"47,362","45,933","47,225",30,-3.0,2.8,22
Butte,"50,683","53,201","51,958",18,5.0,-2.3,37
Camas,"58,862","63,668","60,737",7,8.2,-4.6,39
Canyon,"44,127","46,320","47,903",28,5.0,3.4,20
Caribou,"47,295","49,659","50,947",19,5.0,2.6,25
Cassia,"51,427","54,435","54,685",12,5.8,0.5,34
Clark,"43,093","49,785","44,385",41,15.5,-10.8,42
Clearwater,"42,981","42,711","43,947",43,-0.6,2.9,21
Custer,"50,303","50,311","52,420",16,0.0,4.2,11
Elmore,"42,978","45,081","46,255",35,4.9,2.6,24
Franklin,"44,944","45,424","45,872",36,1.1,1.0,32
Fremont (includes Yellowstone National Park),"45,617","45,770","47,011",31,0.3,2.7,23
Gem,"48,919","46,064","47,755",29,-5.8,3.7,15
Gooding,"64,452","73,167","63,424",6,13.5,-13.3,44
Idaho,"44,722","43,974","45,574",39,-1.7,3.6,16
Jefferson,"44,799","47,600","48,137",27,6.3,1.1,31
Jerome,"44,103","47,605","46,359",32,7.9,-2.6,38
Kootenai,"58,725","59,973","63,893",5,2.1,6.5,3
Latah,"52,151","52,077","54,794",11,-0.1,5.2,5
Lemhi,"52,988","52,590","53,841",15,-0.8,2.4,26
Lewis,"59,839","59,509","54,650",13,-0.6,-8.2,41
Lincoln,"45,991","52,145","46,300",34,13.4,-11.2,43
Madison,"27,693","28,113","29,168",44,1.5,3.8,14
Minidoka,"46,714","49,697","49,862",21,6.4,0.3,35
Nez Perce,"52,694","53,783","56,586",9,2.1,5.2,6
Oneida,"46,013","47,436","49,108",23,3.1,3.5,19
Owyhee,"45,168","49,233","48,928",25,9.0,-0.6,36
Payette,"47,408","48,436","49,505",22,2.2,2.2,28
Power,"42,972","49,552","46,316",33,15.3,-6.5,40
Shoshone,"47,419","44,455","45,440",40,-6.3,2.2,27
Teton,"59,244","64,721","69,601",3,9.2,7.5,1
Twin Falls,"47,936","50,313","52,087",17,5.0,3.5,18
Valley,"63,237","62,842","66,382",4,-0.6,5.6,4
Washington,"42,552","43,825","44,134",42,3.0,0.7,33
,,,,,,,
Illinois,"66,666","68,566","72,245",--,2.9,5.4,--
Adams,"55,697","57,228","59,776",30,2.7,4.5,35
Alexander,"49,962","49,741","52,117",77,-0.4,4.8,29
Bond,"45,108","45,765","47,531",96,1.5,3.9,46
Boone,"55,207","55,568","57,922",40,0.7,4.2,38
Brown,"44,442","47,217","48,654",93,6.2,3.0,63
Bureau,"52,107","52,044","53,797",63,-0.1,3.4,59
Calhoun,"55,676","57,243","58,359",38,2.8,1.9,77
Carroll,"50,760","52,107","52,391",75,2.7,0.5,90
Cass,"49,357","51,144","52,006",79,3.6,1.7,80
Champaign,"54,146","55,685","58,838",34,2.8,5.7,13
Christian,"48,859","50,613","52,047",78,3.6,2.8,66
Clark,"51,306","52,897","53,733",64,3.1,1.6,81
Clay,"49,938","50,214","52,329",76,0.6,4.2,39
Clinton,"57,979","60,444","63,612",16,4.3,5.2,20
Coles,"52,546","53,015","55,509",54,0.9,4.7,31
Cook,"72,316","73,674","77,937",5,1.9,5.8,10
Crawford,"52,252","57,362","60,780",24,9.8,6.0,6
Cumberland,"90,014","94,026","97,381",2,4.5,3.6,55
DeKalb,"50,564","51,245","53,309",70,1.3,4.0,41
De Witt,"57,394","57,950","58,783",35,1.0,1.4,83
Douglas,"61,083","69,116","71,677",7,13.2,3.7,51
DuPage,"85,631","90,599","95,811",3,5.8,5.8,11
Edgar,"55,301","57,651","57,659",42,4.2,0.0,94
Edwards,"51,004","51,121","51,839",81,0.2,1.4,86
Effingham,"60,494","64,480","67,028",14,6.6,4.0,43
Fayette,"45,092","45,766","46,554",98,1.5,1.7,79
Ford,"62,312","69,988","71,035",8,12.3,1.5,82
Franklin,"45,826","45,930","48,167",94,0.2,4.9,27
Fulton,"47,131","48,618","50,832",84,3.2,4.6,34
Gallatin,"54,492","55,704","57,607",44,2.2,3.4,57
Greene,"51,866","54,133","53,257",71,4.4,-1.6,101
Grundy,"59,514","59,578","61,898",20,0.1,3.9,45
Hamilton,"54,539","53,574","55,005",57,-1.8,2.7,69
Hancock,"56,638","57,764","58,593",37,2.0,1.4,84
Hardin,"45,728","52,057","55,331",55,13.8,6.3,3
Henderson,"55,184","58,532","56,375",50,6.1,-3.7,102
Henry,"55,497","56,870","58,648",36,2.5,3.1,62
Iroquois,"55,664","57,358","57,912",41,3.0,1.0,87
Jackson,"46,923","47,152","49,775",88,0.5,5.6,16
Jasper,"56,910","57,063","56,458",49,0.3,-1.1,100
Jefferson,"47,677","47,948","49,840",87,0.6,3.9,44
Jersey,"52,482","53,488","55,010",56,1.9,2.8,65
Jo Daviess,"56,553","57,626","59,940",29,1.9,4.0,42
Johnson,"39,517","39,339","41,389",101,-0.5,5.2,21
Kane,"62,506","64,676","67,922",13,3.5,5.0,26
Kankakee,"51,544","51,228","53,698",65,-0.6,4.8,28
Kendall,"57,197","58,433","61,717",21,2.2,5.6,14
Knox,"47,549","47,847","49,682",89,0.6,3.8,48
Lake,"89,290","94,134","99,895",1,5.4,6.1,4
LaSalle,"52,415","53,972","56,311",51,3.0,4.3,37
Lawrence,"39,741","41,947","41,696",100,5.6,-0.6,99
Lee,"51,406","52,132","53,618",67,1.4,2.9,64
Livingston,"56,627","57,298","57,597",45,1.2,0.5,91
Logan,"47,569","48,722","49,419",90,2.4,1.4,85
McDonough,"48,373","49,134","50,246",86,1.6,2.3,73
McHenry,"63,581","66,047","69,641",11,3.9,5.4,18
McLean,"58,808","59,028","61,174",23,0.4,3.6,53
Macon,"56,052","57,486","60,030",28,2.6,4.4,36
Macoupin,"51,021","52,027","54,510",60,2.0,4.8,30
Madison,"55,268","56,766","60,115",27,2.7,5.9,8
Marion,"50,016","51,031","53,678",66,2.0,5.2,22
Marshall,"55,417","56,538","58,048",39,2.0,2.7,70
Mason,"55,406","56,410","57,624",43,1.8,2.2,74
Massac,"45,525","46,204","48,903",91,1.5,5.8,9
Menard,"56,863","57,660","59,630",32,1.4,3.4,58
Mercer,"58,919","60,018","59,739",31,1.9,-0.5,98
Monroe,"67,845","70,074","74,760",6,3.3,6.7,2
Montgomery,"43,913","43,811","45,501",99,-0.2,3.9,47
Morgan,"49,863","50,979","52,865",72,2.2,3.7,52
Moultrie,"67,136","83,872","85,579",4,24.9,2.0,76
Ogle,"53,953","55,294","57,128",46,2.5,3.3,60
Peoria,"56,619","58,580","62,066",19,3.5,6.0,7
Perry,"43,609","46,262","47,556",95,6.1,2.8,67
Piatt,"66,112","68,281","70,047",10,3.3,2.6,71
Pike,"58,100","55,771","56,213",52,-4.0,0.8,88
Pope,"37,659","38,052","40,154",102,1.0,5.5,17
Pulaski,"47,236","45,684","47,344",97,-3.3,3.6,54
Putnam,"66,997","67,596","70,122",9,0.9,3.7,50
Randolph,"46,699","46,902","48,860",92,0.4,4.2,40
Richland,"50,533","52,453","52,848",73,3.8,0.8,89
Rock Island,"49,048","49,957","52,525",74,1.9,5.1,23
St. Clair,"54,581","56,220","59,412",33,3.0,5.7,12
Saline,"46,363","48,673","51,956",80,5.0,6.7,1
Sangamon,"57,280","57,543","60,497",26,0.5,5.1,24
Schuyler,"52,438","53,491","53,470",69,2.0,0.0,95
Scott,"55,478","56,697","56,623",48,2.2,-0.1,97
Shelby,"52,302","53,250","54,393",61,1.8,2.1,75
Stark,"61,150","62,567","62,669",17,2.3,0.2,93
Stephenson,"51,950","53,010","54,743",59,2.0,3.3,61
Tazewell,"55,010","57,098","60,555",25,3.8,6.1,5
Union,"48,837","48,948","51,681",82,0.2,5.6,15
Vermilion,"49,237","49,732","51,471",83,1.0,3.5,56
Wabash,"51,626","52,533","53,847",62,1.8,2.5,72
Warren,"52,545","56,383","56,656",47,7.3,0.5,92
Washington,"60,723","61,217","62,378",18,0.8,1.9,78
Wayne,"48,423","50,816","50,793",85,4.9,0.0,96
White,"56,269","59,999","61,640",22,6.6,2.7,68
Whiteside,"52,057","52,882","54,875",58,1.6,3.8,49
Will,"62,139","64,758","68,225",12,4.2,5.4,19
Williamson,"51,958","53,071","55,757",53,2.1,5.1,25
Winnebago,"50,437","51,172","53,553",68,1.5,4.7,32
Woodford,"60,935","63,709","66,670",15,4.6,4.6,33
,,,,,,,
Indiana,"57,272","58,973","61,243",--,3.0,3.8,--
Adams,"47,675","50,123","50,881",69,5.1,1.5,84
Allen,"56,218","58,417","60,607",15,3.9,3.7,44
Bartholomew,"60,392","62,848","65,564",9,4.1,4.3,28
Benton,"54,789","55,076","56,092",39,0.5,1.8,80
Blackford,"44,289","45,464","46,989",85,2.7,3.4,59
Boone,"85,997","92,439","97,028",2,7.5,5.0,13
Brown,"58,480","59,003","61,898",12,0.9,4.9,15
Carroll,"51,573","51,375","53,144",53,-0.4,3.4,56
Cass,"47,770","47,582","49,257",75,-0.4,3.5,52
Clark,"52,181","53,747","56,729",30,3.0,5.5,5
Clay,"45,080","45,445","47,328",84,0.8,4.1,33
Clinton,"45,885","47,013","48,728",77,2.5,3.6,47
Crawford,"41,790","42,005","44,174",90,0.5,5.2,10
Daviess,"54,425","58,466","59,193",20,7.4,1.2,85
Dearborn,"56,805","58,303","60,731",14,2.6,4.2,32
Decatur,"52,658","53,573","55,366",42,1.7,3.3,60
DeKalb,"55,175","55,408","56,870",29,0.4,2.6,73
Delaware,"45,152","45,910","47,629",82,1.7,3.7,45
Dubois,"63,254","65,809","68,645",5,4.0,4.3,29
Elkhart,"56,966","58,844","58,662",21,3.3,-0.3,90
Fayette,"47,659","47,753","50,175",73,0.2,5.1,11
Floyd,"63,200","63,496","66,690",7,0.5,5.0,12
Fountain,"50,263","51,445","53,298",50,2.4,3.6,49
Franklin,"56,052","55,604","57,550",25,-0.8,3.5,54
Fulton,"49,839","50,152","52,342",61,0.6,4.4,25
Gibson,"54,133","56,394","58,378",22,4.2,3.5,53
Grant,"47,161","47,879","49,748",74,1.5,3.9,38
Greene,"50,409","51,008","52,586",57,1.2,3.1,68
Hamilton,"90,099","94,226","99,456",1,4.6,5.6,4
Hancock,"59,257","63,189","65,651",8,6.6,3.9,39
Harrison,"52,928","55,121","57,403",26,4.1,4.1,34
Hendricks,"57,822","59,482","62,305",10,2.9,4.7,17
Henry,"46,170","47,137","48,320",81,2.1,2.5,74
Howard,"47,533","47,992","50,368",72,1.0,5.0,14
Huntington,"50,551","51,055","52,450",60,1.0,2.7,71
Jackson,"48,535","50,212","51,461",67,3.5,2.5,76
Jasper,"56,459","58,430","60,384",16,3.5,3.3,62
Jay,"49,315","55,447","53,566",48,12.4,-3.4,92
Jefferson,"50,437","52,647","54,925",44,4.4,4.3,27
Jennings,"49,102","50,398","51,768",65,2.6,2.7,72
Johnson,"57,329","59,409","61,983",11,3.6,4.3,26
Knox,"54,422","54,513","56,279",35,0.2,3.2,64
Kosciusko,"56,829","58,295","59,499",18,2.6,2.1,79
Lagrange,"53,108","54,765","53,984",46,3.1,-1.4,91
Lake,"52,680","53,708","56,172",38,2.0,4.6,21
LaPorte,"49,173","50,903","53,144",53,3.5,4.4,24
Lawrence,"51,688","52,404","54,421",45,1.4,3.8,42
Madison,"46,623","46,947","48,479",80,0.7,3.3,63
Marion,"66,777","68,618","70,999",4,2.8,3.5,55
Marshall,"51,723","53,551","53,579",47,3.5,0.1,88
Martin,"50,172","53,117","53,113",55,5.9,0.0,89
Miami,"40,974","41,093","42,691",92,0.3,3.9,40
Monroe,"52,735","54,799","57,379",27,3.9,4.7,18
Montgomery,"49,440","50,405","51,959",63,2.0,3.1,70
Morgan,"52,434","54,660","56,426",34,4.2,3.2,66
Newton,"51,625","53,051","53,359",49,2.8,0.6,86
Noble,"49,008","51,131","52,042",62,4.3,1.8,82
Ohio,"54,761","52,119","55,398",41,-4.8,6.3,1
Orange,"44,461","46,212","47,330",83,3.9,2.4,77
Owen,"49,602","50,145","51,946",64,1.1,3.6,50
Parke,"48,914","50,037","53,000",56,2.3,5.9,3
Perry,"44,466","45,081","46,830",87,1.4,3.9,41
Pike,"47,688","48,871","50,515",70,2.5,3.4,58
Porter,"61,319","63,618","66,906",6,3.7,5.2,8
Posey,"58,445","59,186","61,689",13,1.3,4.2,31
Pulaski,"54,445","56,247","59,327",19,3.3,5.5,7
Putnam,"46,569","46,980","48,687",78,0.9,3.6,48
Randolph,"51,237","53,229","55,009",43,3.9,3.3,61
Ripley,"50,932","51,260","52,541",58,0.6,2.5,75
Rush,"55,344","55,582","58,058",23,0.4,4.5,23
St. Joseph,"55,687","56,651","56,895",28,1.7,0.4,87
Scott,"44,771","45,123","46,902",86,0.8,3.9,37
Shelby,"51,593","53,589","55,484",40,3.9,3.5,51
Spencer,"54,039","54,494","56,258",36,0.8,3.2,65
Starke,"42,270","42,512","44,313",89,0.6,4.2,30
Steuben,"53,688","54,853","56,713",31,2.2,3.4,57
Sullivan,"43,563","44,047","45,407",88,1.1,3.1,69
Switzerland,"42,354","42,515","43,212",91,0.4,1.6,83
Tippecanoe,"46,411","47,590","50,492",71,2.5,6.1,2
Tipton,"52,042","50,830","53,169",52,-2.3,4.6,20
Union,"49,079","49,708","51,547",66,1.3,3.7,46
Vanderburgh,"55,630","56,939","59,500",17,2.4,4.5,22
Vermillion,"46,838","46,749","48,525",79,-0.2,3.8,43
Vigo,"45,899","46,633","48,802",76,1.6,4.7,19
Wabash,"51,915","53,621","56,584",33,3.3,5.5,6
Warren,"53,719","54,472","56,648",32,1.4,4.0,36
Warrick,"66,696","67,864","71,369",3,1.8,5.2,9
Washington,"47,929","50,302","51,198",68,5.0,1.8,81
Wayne,"49,359","50,069","52,493",59,1.4,4.8,16
Wells,"51,603","52,094","53,280",51,1.0,2.3,78
White,"52,285","54,034","56,248",37,3.3,4.1,35
Whitley,"53,955","55,818","57,565",24,3.5,3.1,67
,,,,,,,
Iowa,"58,207","61,575","62,779",--,5.8,2.0,--
Adair,"65,289","68,566","69,294",13,5.0,1.1,31
Adams,"65,237","66,764","64,379",28,2.3,-3.6,75
Allamakee,"53,586","56,499","55,377",73,5.4,-2.0,59
Appanoose,"47,503","47,346","48,205",97,-0.3,1.8,28
Audubon,"65,593","72,093","64,517",26,9.9,-10.5,97
Benton,"63,532","70,159","70,193",11,10.4,0.0,42
Black Hawk,"52,428","53,556","55,529",72,2.2,3.7,12
Boone,"53,575","55,212","55,664",70,3.1,0.8,36
Bremer,"57,647","60,274","61,420",43,4.6,1.9,25
Buchanan,"57,875","62,510","61,848",42,8.0,-1.1,51
Buena Vista,"49,758","55,272","53,369",82,11.1,-3.4,73
Butler,"57,680","61,985","60,549",49,7.5,-2.3,61
Calhoun,"59,794","66,232","60,792",46,10.8,-8.2,91
Carroll,"60,922","68,120","65,159",23,11.8,-4.3,81
Cass,"56,939","61,055","61,849",41,7.2,1.3,30
Cedar,"63,448","68,431","66,315",21,7.9,-3.1,68
Cerro Gordo,"61,367","76,392","79,493",6,24.5,4.1,9
Cherokee,"68,605","96,180","95,566",3,40.2,-0.6,48
Chickasaw,"73,649","104,106","106,632",2,41.4,2.4,21
Clarke,"46,014","49,568","50,014",93,7.7,0.9,35
Clay,"60,565","63,043","62,951",38,4.1,-0.1,43
Clayton,"61,217","66,736","65,588",22,9.0,-1.7,57
Clinton,"51,663","52,665","53,442",80,1.9,1.5,29
Crawford,"53,451","56,479","54,564",77,5.7,-3.4,72
Dallas,"77,678","79,458","84,495",4,2.3,6.3,1
Davis,"46,468","56,644","56,856",64,21.9,0.4,40
Decatur,"44,270","45,471","44,361",99,2.7,-2.4,63
Delaware,"57,991","62,780","60,775",47,8.3,-3.2,69
Des Moines,"58,440","57,639","58,928",57,-1.4,2.2,22
Dickinson,"71,737","76,947","79,429",7,7.3,3.2,17
Dubuque,"57,897","61,190","63,435",34,5.7,3.7,13
Emmet,"51,681","55,092","51,744",90,6.6,-6.1,85
Fayette,"51,054","54,075","53,333",83,5.9,-1.4,54
Floyd,"56,298","61,760","60,794",45,9.7,-1.6,56
Franklin,"62,401","68,268","63,224",37,9.4,-7.4,90
Fremont,"61,753","61,228","60,566",48,-0.9,-1.1,52
Greene,"60,743","62,803","59,822",53,3.4,-4.7,82
Grundy,"62,820","66,588","65,012",24,6.0,-2.4,62
Guthrie,"66,402","69,708","68,446",14,5.0,-1.8,58
Hamilton,"59,696","67,048","60,409",50,12.3,-9.9,95
Hancock,"62,208","69,616","63,316",36,11.9,-9.0,93
Hardin,"63,004","78,029","77,229",8,23.8,-1.0,50
Harrison,"55,951","60,019","59,741",54,7.3,-0.5,46
Henry,"49,674","51,250","52,183",88,3.2,1.8,26
Howard,"60,683","65,748","63,532",32,8.3,-3.4,71
Humboldt,"57,394","61,407","59,055",56,7.0,-3.8,79
Ida,"69,571","75,355","76,071",9,8.3,1.0,34
Iowa,"60,453","61,878","61,176",44,2.4,-1.1,53
Jackson,"53,959","56,366","56,935",63,4.5,1.0,33
Jasper,"50,298","51,516","52,040",89,2.4,1.0,32
Jefferson,"53,205","56,925","57,961",60,7.0,1.8,27
Johnson,"60,804","60,955","63,487",33,0.2,4.2,7
Jones,"52,330","55,208","55,571",71,5.5,0.7,38
Keokuk,"54,951","57,845","56,070",66,5.3,-3.1,66
Kossuth,"63,718","69,530","63,562",31,9.1,-8.6,92
Lee,"49,351","50,810","52,269",87,3.0,2.9,20
Linn,"59,596","61,084","63,407",35,2.5,3.8,11
Louisa,"52,321","55,214","53,254",84,5.5,-3.5,74
Lucas,"48,649","49,656","49,937",94,2.1,0.6,39
Lyon,"66,958","75,542","68,302",16,12.8,-9.6,94
Madison,"57,455","59,846","61,924",40,4.2,3.5,15
Mahaska,"50,504","53,650","55,210",74,6.2,2.9,19
Marion,"57,928","60,612","64,302",29,4.6,6.1,2
Marshall,"49,988","49,455","49,357",95,-1.1,-0.2,45
Mills,"67,296","68,230","69,748",12,1.4,2.2,23
Mitchell,"76,128","105,789","110,907",1,39.0,4.8,4
Monona,"57,815","61,462","60,126",52,6.3,-2.2,60
Monroe,"54,539","55,747","58,282",59,2.2,4.5,5
Montgomery,"49,210","51,087","50,995",91,3.8,-0.2,44
Muscatine,"53,477","55,732","57,595",61,4.2,3.3,16
O'Brien,"61,842","67,259","63,799",30,8.8,-5.1,83
Osceola,"58,317","66,914","60,171",51,14.7,-10.1,96
Page,"52,299","54,012","54,431",78,3.3,0.8,37
Palo Alto,"58,688","68,424","59,206",55,16.6,-13.5,98
Plymouth,"63,293","69,807","66,979",18,10.3,-4.1,80
Pocahontas,"60,828","66,818","56,936",62,9.8,-14.8,99
Polk,"61,681","63,921","66,761",19,3.6,4.4,6
Pottawattamie,"51,488","56,136","58,306",58,9.0,3.9,10
Poweshiek,"53,015","56,969","56,638",65,7.5,-0.6,47
Ringgold,"59,074","59,232","54,984",75,0.3,-7.2,88
Sac,"69,161","81,621","75,597",10,18.0,-7.4,89
Scott,"61,414","63,291","66,748",20,3.1,5.5,3
