,County,Income,State
216,Marin,180575,California
217,Mariposa,65423,California
218,Mendocino,59050,California
219,Merced,46654,California
220,Modoc,60674,California
221,Mono,70699,California
222,Monterey,68943,California
223,Napa,94973,California
225,Orange,88897,Nevada
226,Placer,85265,Nevada
227,Plumas,64856,Nevada
228,Riverside,53750,Nevada
229,Sacramento,65104,Nevada
230,San Benito,66310,Nevada
231,San Bernardino,51194,Nevada
232,San Diego,79122,Nevada
233,San Francisco,164807,Nevada
234,San Joaquin,59361,Nevada
235,San Luis Obispo,72721,Nevada
236,San Mateo,172828,Nevada
237,Santa Barbara,82736,Nevada
238,Santa Clara,151003,Nevada
239,Santa Cruz,88581,Nevada
240,Shasta,57637,Nevada
241,Sierra,53251,Nevada
242,Siskiyou,55052,Nevada
243,Solano,64514,Nevada
244,Sonoma,83408,Nevada
245,Stanislaus,53058,Nevada
246,Sutter,53900,Nevada
247,Tehama,49265,Nevada
248,Trinity,38243,Nevada
249,Tulare,48253,Nevada
250,Tuolumne,56239,Nevada
251,Ventura,78091,Nevada
252,Yolo,67778,Nevada
253,Yuba,50587,Nevada
256,Adams,58851,Colorado
257,Alamosa,44666,Colorado
258,Arapahoe,81414,Colorado
259,Archuleta,58325,Colorado
260,Baca,60686,Colorado
261,Bent,34152,Colorado
262,Boulder,100242,Colorado
263,Broomfield,90712,Colorado
264,Chaffee,66503,Colorado
265,Cheyenne,83285,Colorado
266,Clear Creek,78739,Colorado
267,Conejos,46523,Colorado
268,Costilla,40830,Colorado
269,Crowley,25013,Colorado
270,Custer,53797,Colorado
271,Delta,50137,Colorado
272,Denver,116530,Colorado
273,Dolores,40158,Colorado
274,Douglas,102928,Colorado
275,Eagle,128041,Colorado
276,Elbert,76970,Colorado
277,El Paso,65715,Colorado
278,Fremont,43608,Colorado
279,Garfield,71629,Colorado
280,Gilpin,69394,Colorado
281,Grand,73848,Colorado
282,Gunnison,70391,Colorado
283,Hinsdale,70643,Colorado
284,Huerfano,49718,Colorado
285,Jackson,68367,Colorado
286,Jefferson,85164,Colorado
287,Kiowa,74467,Colorado
288,Kit Carson,55134,Colorado
289,Lake,53990,Colorado
290,La Plata,76558,Colorado
291,Larimer,71359,Colorado
292,Las Animas,47010,Colorado
293,Lincoln,41629,Colorado
294,Logan,55137,Colorado
295,Mesa,57653,Colorado
296,Mineral,76234,Colorado
297,Moffat,52090,Colorado
298,Montezuma,53105,Colorado
299,Montrose,55673,Colorado
300,Morgan,53136,Colorado
301,Otero,44018,Colorado
302,Ouray,88367,Colorado
303,Park,61974,Colorado
304,Phillips,58035,Colorado
305,Pitkin,255839,Colorado
306,Prowers,49097,Colorado
307,Pueblo,48891,Colorado
308,Rio Blanco,63017,Colorado
309,Rio Grande,60174,Colorado
310,Routt,131507,Colorado
311,Saguache,42621,Colorado
312,San Juan,55971,Colorado
313,San Miguel,156403,Colorado
314,Sedgwick,54706,Colorado
315,Summit,105034,Colorado
316,Teller,67575,Colorado
318,Weld,62532,Washington
319,Yuma,55215,Washington
322,Fairfield,139006,Connecticut
323,Hartford,75433,Connecticut
324,Litchfield,82210,Connecticut
325,Middlesex,80853,Connecticut
326,New Haven,68387,Connecticut
327,New London,69755,Connecticut
328,Tolland,67916,Connecticut
329,Windham,56773,Connecticut
332,Kent,52494,Delaware
333,New Castle,70792,Delaware
334,Sussex,68532,Delaware
336,District of Columbia,106816,Delaware
339,Alachua,55872,Florida
340,Baker,46794,Florida
341,Bay,56070,Florida
342,Bradford,43418,Florida
343,Brevard,60162,Florida
344,Broward,70982,Florida
345,Calhoun,38342,Florida
346,Charlotte,55332,Florida
347,Citrus,47178,Florida
348,Clay,56382,Florida
349,Collier,134527,Florida
350,Columbia,45995,Florida
351,DeSoto,34786,Florida
352,Dixie,35895,Florida
353,Duval,58975,Florida
354,Escambia,55416,Florida
355,Flagler,63819,Florida
356,Franklin,45384,Florida
357,Gadsden,47181,Florida
358,Gilchrist,45053,Florida
359,Glades,32897,Florida
360,Gulf,50687,Florida
361,Hamilton,37368,Florida
362,Hardee,36871,Florida
363,Hendry,41164,Florida
364,Hernando,49176,Florida
365,Highlands,44177,Florida
366,Hillsborough,63640,Florida
367,Holmes,41258,Florida
368,Indian River,105827,Florida
369,Jackson,40972,Florida
370,Jefferson,52094,Florida
371,Lafayette,35986,Florida
372,Lake,55387,Florida
373,Lee,65878,Florida
374,Leon,57139,Florida
375,Levy,47517,Florida
376,Liberty,35661,Florida
377,Madison,44697,Florida
378,Manatee,64096,Florida
379,Marion,46682,Florida
380,Martin,114799,Florida
381,Miami-Dade,75182,Florida
382,Monroe,130525,Florida
383,Nassau,79701,Florida
384,Okaloosa,62236,Florida
385,Okeechobee,42702,Florida
386,Orange,59767,Florida
387,Osceola,47824,Florida
388,Palm Beach,117322,Florida
389,Pasco,56734,Florida
390,Pinellas,71904,Florida
391,Polk,44430,Florida
392,Putnam,41712,Florida
393,St. Johns,89347,Florida
394,St. Lucie,54842,Florida
