,State,County,Median AQI,Income
191,Illinois,Cook,57,77937
192,Illinois,DuPage,53,95811
193,Illinois,Effingham,44,67028
194,Illinois,Hamilton,46,55005
195,Illinois,Jersey,48,55010
196,Illinois,Jo Daviess,36,59940
197,Illinois,Kane,46,67922
198,Illinois,Lake,42,99895
199,Illinois,Macon,51,60030
200,Illinois,Macoupin,37,54510
201,Illinois,Madison,55,60115
202,Illinois,McHenry,49,69641
203,Illinois,McLean,50,61174
204,Illinois,Peoria,48,62066
205,Illinois,Randolph,46,48860
206,Illinois,Rock Island,51,52525
207,Illinois,Sangamon,51,60497
208,Indiana,Allen,42,60607
209,Indiana,Bartholomew,46,65564
210,Indiana,Boone,37,97028
211,Indiana,Brown,37,61898
212,Indiana,Carroll,36,53144
213,Indiana,Clark,52,56729
214,Indiana,Monroe,40,54716
215,Indiana,Perry,38,56411
216,Iowa,Black Hawk,53,55529
217,Iowa,Bremer,42,61420
218,Iowa,Cerro Gordo,19,79493
219,Iowa,Clinton,54,53442
220,Iowa,Johnson,53,63487
221,Iowa,Lee,47,52269
222,Iowa,Linn,54,63407
223,Iowa,Montgomery,44,50995
224,Iowa,Muscatine,49,57595
225,Iowa,Palo Alto,46,59206
226,Iowa,Polk,52,66761
227,Iowa,Polk,52,57391
228,Iowa,Pottawattamie,49,58306
229,Iowa,Scott,53,66748
230,Iowa,Van Buren,46,48677
231,Kansas,Chase,29,66523
232,Kansas,Ford,15,48219
233,Kansas,Johnson,49,102693
234,Kansas,Leavenworth,37,53757
235,Kansas,Neosho,54,50698
236,Kansas,Sedgwick,48,61462
237,Kansas,Shawnee,48,58412
238,Kansas,Sherman,19,57304
239,Kansas,Sumner,51,51274
240,Kansas,Trego,47,70367
241,Kentucky,Bell,49,42353
242,Kentucky,Boone,44,62066
243,Kentucky,Boyd,46,49074
244,Kentucky,Bullitt,44,54121
245,Kentucky,Campbell,44,66222
246,Kentucky,Carter,40,40853
247,Kentucky,Christian,47,46804
248,Kentucky,Daviess,51,52446
249,Kentucky,Edmonson,39,41551
250,Kentucky,Fayette,45,65766
251,Kentucky,Greenup,39,50917
252,Kentucky,Hancock,42,64129
253,Kentucky,Hardin,45,56117
254,Kentucky,Jefferson,55,67663
255,Kentucky,Jessamine,43,61703
256,Kentucky,Livingston,42,49169
257,Kentucky,McCracken,47,64990
258,Kentucky,Morgan,38,34380
259,Louisiana,Ascension,34,63811
260,Louisiana,Bossier,53,56326
261,Louisiana,Caddo,38,64383
262,Louisiana,Calcasieu,54,54129
263,Louisiana,East Baton Rouge,52,66726
264,Louisiana,Iberville,44,55730
265,Louisiana,Jefferson,51,63448
266,Louisiana,Lafayette,47,66179
267,Louisiana,Lafourche,53,57643
268,Louisiana,Livingston,54,52193
269,Louisiana,Orleans,41,67403
270,Louisiana,Ouachita,38,49818
271,Louisiana,Pointe Coupee,36,60708
272,Louisiana,Rapides,43,56169
273,Louisiana,St. Bernard,52,43959
274,Louisiana,St. James,33,70185
275,Louisiana,St. John the Baptist,35,47598
276,Louisiana,St. Martin,37,48737
277,Louisiana,St. Tammany,42,78246
278,Louisiana,Tangipahoa,43,50875
279,Louisiana,Terrebonne,43,53834
280,Maine,Androscoggin,35,53731
281,Maine,Aroostook,37,53650
282,Maine,Cumberland,40,84606
283,Maine,Hancock,38,68181
284,Maine,Kennebec,37,58278
285,Maine,Knox,33,67794
286,Maine,Oxford,38,50165
287,Maine,Penobscot,35,53978
288,Maine,Sagadahoc,39,67538
289,Maryland,Anne Arundel,40,84019
290,Maryland,Baltimore,45,74738
291,Maryland,Calvert,42,76018
292,Maryland,Carroll,44,74895
293,Maryland,Cecil,42,59373
294,Maryland,Charles,42,66642
295,Maryland,Dorchester,44,57060
296,Maryland,Frederick,44,76664
297,Maryland,Garrett,40,57525
298,Maryland,Harford,45,71196
299,Maryland,Howard,38,95529
300,Maryland,Kent,41,77025
301,Maryland,Montgomery,42,100044
302,Maryland,Prince George's,44,57096
303,Massachusetts,Barnstable,37,92417
304,Massachusetts,Berkshire,41,70945
305,Massachusetts,Bristol,42,67109
306,Massachusetts,Dukes,38,98605
307,Massachusetts,Essex,44,84017
308,Massachusetts,Franklin,43,67327
309,Massachusetts,Hampden,46,64105
310,Massachusetts,Hampshire,38,63544
311,Massachusetts,Middlesex,39,108773
312,Massachusetts,Norfolk,41,115585
313,Massachusetts,Plymouth,40,84693
314,Massachusetts,Suffolk,44,107027
315,Massachusetts,Worcester,39,69301
316,Michigan,Allegan,42,58048
317,Michigan,Bay,42,52579
318,Michigan,Benzie,38,60458
319,Michigan,Berrien,42,61127
320,Michigan,Cass,42,57612
321,Michigan,Clinton,38,60589
322,Michigan,Genesee,44,52520
323,Michigan,Huron,39,61320
324,Michigan,Ingham,43,52560
325,Michigan,Kalamazoo,53,63668
326,Michigan,Kent,49,70662
327,Michigan,Keweenaw,16,60716
328,Michigan,Lenawee,50,51391
329,Michigan,Macomb,51,58565
330,Michigan,Manistee,39,48967
331,Michigan,Mason,40,50216
332,Michigan,Missaukee,48,45640
333,Michigan,Monroe,25,59956
334,Michigan,Muskegon,41,49244
335,Michigan,Oakland,41,90781
336,Michigan,Ottawa,51,63265
337,Michigan,Schoolcraft,36,48919
338,Michigan,St. Clair,49,55834
339,Michigan,Tuscola,34,47501
340,Michigan,Washtenaw,52,77537
341,Michigan,Wayne,61,52727
342,Michigan,Wexford,35,45996
343,Minnesota,Anoka,46,62935
344,Minnesota,Becker,44,60360
345,Minnesota,Beltrami,27,53382
346,Minnesota,Carlton,38,52392
347,Minnesota,Cass,32,57880
348,Minnesota,Cook,13,65513
349,Minnesota,Crow Wing,43,56919
350,Minnesota,Dakota,49,75019
351,Minnesota,Goodhue,43,65921
352,Minnesota,Hennepin,52,95574
353,Minnesota,Lake,36,57668
354,Minnesota,Lyon,46,61228
355,Minnesota,Mille Lacs,40,53553
356,Minnesota,Olmsted,49,71904
357,Minnesota,Ramsey,49,69310
358,Minnesota,Scott,51,81213
359,Minnesota,Stearns,48,63053
360,Mississippi,Bolivar,52,51015
361,Mississippi,DeSoto,54,56470
362,Mississippi,Forrest,53,45405
363,Mississippi,Hancock,50,48425
364,Mississippi,Harrison,51,48902
365,Mississippi,Hinds,54,51350
366,Mississippi,Jackson,51,48028
367,Mississippi,Lauderdale,38,50952
368,Mississippi,Lee,42,54255
369,Missouri,Andrew,43,54504
370,Missouri,Boone,42,60158
371,Missouri,Buchanan,48,51741
372,Missouri,Callaway,43,50652
373,Missouri,Cass,44,59720
374,Missouri,Cedar,44,40183
375,Missouri,Clay,43,60043
376,Missouri,Clinton,44,52880
377,Missouri,Greene,49,56350
378,Missouri,Jackson,52,57518
379,Missouri,Jasper,42,47246
380,Missouri,Jefferson,44,55195
381,Missouri,Lincoln,44,53300
382,Montana,Beaverhead,13,59595
383,Montana,Cascade,50,60126
384,Montana,Custer,39,55578
385,Montana,Fergus,41,54647
386,Montana,Flathead,43,68725
387,Montana,Gallatin,26,87254
388,Montana,Glacier,12,48573
389,Montana,Hill,23,55344
390,Montana,Lake,13,49027
391,Montana,Lewis and Clark,45,62214
392,Montana,Lincoln,53,47487
393,Montana,Missoula,53,68344
394,Montana,Phillips,38,45314
395,Montana,Powder River,44,46200
396,Montana,Powell,14,53396
397,Montana,Ravalli,22,63195
398,Montana,Richland,39,72410
399,Montana,Roosevelt,13,45113
400,Montana,Rosebud,3,55754
401,Montana,Sanders,37,45599
402,Montana,Sheridan,18,55175
403,Montana,Silver Bow,31,60001
404,Montana,Yellowstone,29,68959
405,Nebraska,Cass,17,67310
406,Nebraska,Douglas,45,81570
407,Nebraska,Gage,34,80101
408,Nebraska,Hall,35,59802
409,Nebraska,Knox,41,66048
410,Nebraska,Lancaster,42,66280
411,Nebraska,Sarpy,37,66625
412,Nebraska,Scotts Bluff,21,57327
413,Nevada,Carson City,47,63498
414,Nevada,Churchill,43,56685
