,County,Income,State
174,Scott,"38,982",Nevada
175,Searcy,"35,719",Nevada
176,Sebastian,"50,348",Nevada
177,Sevier,"42,946",Nevada
178,Sharp,"43,491",Nevada
179,Stone,"39,075",Nevada
180,Union,"56,838",Nevada
181,Van Buren,"41,926",Nevada
182,Washington,"51,797",Washington
183,White,"46,269",Washington
184,Woodruff,"57,492",Washington
185,Yell,"44,170",Washington
186,Alameda,"106,657",California
187,Alpine,"75,395",California
188,Amador,"50,020",California
189,Butte,"56,847",California
190,Calaveras,"58,425",California
191,Colusa,"58,303",California
192,Contra Costa,"103,218",California
193,Del Norte,"47,141",California
194,El Dorado,"84,533",California
195,Fresno,"52,728",California
196,Glenn,"53,013",California
197,Humboldt,"57,264",California
198,Imperial,"47,991",California
199,Inyo,"64,246",California
200,Kern,"47,350",California
201,Kings,"43,994",California
202,Lake,"48,198",California
203,Lassen,"43,736",California
204,Los Angeles,"78,302",California
205,Madera,"46,709",California
206,Marin,"180,575",California
207,Mariposa,"65,423",California
208,Mendocino,"59,050",California
209,Merced,"46,654",California
210,Modoc,"60,674",California
211,Mono,"70,699",California
212,Monterey,"68,943",California
213,Napa,"94,973",California
214,Nevada,"75,539",Nevada
215,Orange,"88,897",Nevada
216,Placer,"85,265",Nevada
217,Plumas,"64,856",Nevada
218,Riverside,"53,750",Nevada
219,Sacramento,"65,104",Nevada
220,San Benito,"66,310",Nevada
221,San Bernardino,"51,194",Nevada
222,San Diego,"79,122",Nevada
223,San Francisco,"164,807",Nevada
224,San Joaquin,"59,361",Nevada
225,San Luis Obispo,"72,721",Nevada
226,San Mateo,"172,828",Nevada
227,Santa Barbara,"82,736",Nevada
228,Santa Clara,"151,003",Nevada
229,Santa Cruz,"88,581",Nevada
230,Shasta,"57,637",Nevada
231,Sierra,"53,251",Nevada
232,Siskiyou,"55,052",Nevada
233,Solano,"64,514",Nevada
234,Sonoma,"83,408",Nevada
235,Stanislaus,"53,058",Nevada
236,Sutter,"53,900",Nevada
237,Tehama,"49,265",Nevada
238,Trinity,"38,243",Nevada
239,Tulare,"48,253",Nevada
240,Tuolumne,"56,239",Nevada
241,Ventura,"78,091",Nevada
242,Yolo,"67,778",Nevada
243,Yuba,"50,587",Nevada
244,Adams,"58,851",Colorado
245,Alamosa,"44,666",Colorado
246,Arapahoe,"81,414",Colorado
247,Archuleta,"58,325",Colorado
248,Baca,"60,686",Colorado
249,Bent,"34,152",Colorado
250,Boulder,"100,242",Colorado
251,Broomfield,"90,712",Colorado
252,Chaffee,"66,503",Colorado
253,Cheyenne,"83,285",Colorado
254,Clear Creek,"78,739",Colorado
255,Conejos,"46,523",Colorado
256,Costilla,"40,830",Colorado
257,Crowley,"25,013",Colorado
258,Custer,"53,797",Colorado
259,Delta,"50,137",Colorado
260,Denver,"116,530",Colorado
261,Dolores,"40,158",Colorado
262,Douglas,"102,928",Colorado
263,Eagle,"128,041",Colorado
264,Elbert,"76,970",Colorado
265,El Paso,"65,715",Colorado
266,Fremont,"43,608",Colorado
267,Garfield,"71,629",Colorado
268,Gilpin,"69,394",Colorado
269,Grand,"73,848",Colorado
270,Gunnison,"70,391",Colorado
271,Hinsdale,"70,643",Colorado
272,Huerfano,"49,718",Colorado
273,Jackson,"68,367",Colorado
274,Jefferson,"85,164",Colorado
275,Kiowa,"74,467",Colorado
276,Kit Carson,"55,134",Colorado
277,Lake,"53,990",Colorado
278,La Plata,"76,558",Colorado
279,Larimer,"71,359",Colorado
280,Las Animas,"47,010",Colorado
281,Lincoln,"41,629",Colorado
282,Logan,"55,137",Colorado
283,Mesa,"57,653",Colorado
284,Mineral,"76,234",Colorado
285,Moffat,"52,090",Colorado
286,Montezuma,"53,105",Colorado
287,Montrose,"55,673",Colorado
288,Morgan,"53,136",Colorado
289,Otero,"44,018",Colorado
290,Ouray,"88,367",Colorado
291,Park,"61,974",Colorado
292,Phillips,"58,035",Colorado
293,Pitkin,"255,839",Colorado
294,Prowers,"49,097",Colorado
295,Pueblo,"48,891",Colorado
296,Rio Blanco,"63,017",Colorado
297,Rio Grande,"60,174",Colorado
298,Routt,"131,507",Colorado
299,Saguache,"42,621",Colorado
300,San Juan,"55,971",Colorado
301,San Miguel,"156,403",Colorado
302,Sedgwick,"54,706",Colorado
303,Summit,"105,034",Colorado
304,Teller,"67,575",Colorado
305,Washington,"49,437",Washington
306,Weld,"62,532",Washington
307,Yuma,"55,215",Washington
308,Fairfield,"139,006",Connecticut
309,Hartford,"75,433",Connecticut
310,Litchfield,"82,210",Connecticut
311,Middlesex,"80,853",Connecticut
312,New Haven,"68,387",Connecticut
313,New London,"69,755",Connecticut
314,Tolland,"67,916",Connecticut
315,Windham,"56,773",Connecticut
316,Kent,"52,494",Delaware
317,New Castle,"70,792",Delaware
318,Sussex,"68,532",Delaware
319,Alachua,"55,872",Florida
320,Baker,"46,794",Florida
321,Bay,"56,070",Florida
322,Bradford,"43,418",Florida
323,Brevard,"60,162",Florida
324,Broward,"70,982",Florida
325,Calhoun,"38,342",Florida
326,Charlotte,"55,332",Florida
327,Citrus,"47,178",Florida
328,Clay,"56,382",Florida
329,Collier,"134,527",Florida
330,Columbia,"45,995",Florida
331,DeSoto,"34,786",Florida
332,Dixie,"35,895",Florida
333,Duval,"58,975",Florida
334,Escambia,"55,416",Florida
335,Flagler,"63,819",Florida
336,Franklin,"45,384",Florida
337,Gadsden,"47,181",Florida
338,Gilchrist,"45,053",Florida
339,Glades,"32,897",Florida
340,Gulf,"50,687",Florida
341,Hamilton,"37,368",Florida
342,Hardee,"36,871",Florida
