,State,County,Median AQI
969,Wisconsin,Sheboygan,45
970,Wisconsin,Taylor,43
971,Wisconsin,Vilas,39
972,Wisconsin,Walworth,44
973,Wisconsin,Waukesha,52
974,Wyoming,Albany,48
975,Wyoming,Big Horn,39
976,Wyoming,Campbell,45
977,Wyoming,Carbon,8
978,Wyoming,Converse,42
979,Wyoming,Fremont,49
980,Wyoming,Johnson,40
981,Wyoming,Laramie,45
982,Wyoming,Lincoln,44
983,Wyoming,Natrona,42
984,Wyoming,Park,14
985,Wyoming,Platte,14
986,Wyoming,Sheridan,43
987,Wyoming,Sublette,47
988,Wyoming,Sweetwater,47
989,Wyoming,Teton,43
990,Wyoming,Uinta,6
991,Wyoming,Weston,42
